,종목코드,종목명,분류,영업이익률,PER
0,5930,삼성전자,kospi200,"['18.45', '15.82']","['15.89', '73.53']"
1,660,SK하이닉스,kospi200,"['15.99', '11.68']","['21.31', '115.69']"
2,51910,LG화학,kospi200,"['12.02', '9.60']","['61.10', '117.42']"
3,207940,삼성바이오로직스,kospi200,"['34.14', '23.75']","['141.20', '684.36']"
4,68270,셀트리온,kospi200,"['44.70', '46.46']","['68.24', '281.24']"
5,35420,NAVER,kospi200,"['21.44', '20.62']","['59.03', '194.05']"
6,6400,삼성SDI,kospi200,"['8.66', '8.99']","['147.91', '131.82']"
7,5380,현대차,kospi200,"['-1.14', '5.91']","['42.65', '36.19']"
8,35720,카카오,kospi200,"['10.92', '11.85']","['-404.46', '278.42']"
9,28260,삼성물산,kospi200,"['2.74', '3.49']","['17.59', '102.53']"
10,51900,LG생활건강,kospi200,"['15.82', '12.46']","['32.44', '178.24']"
11,270,기아차,kospi200,"['1.20', '5.78']","['21.79', '28.95']"
12,12330,현대모비스,kospi200,"['5.99', '6.24']","['14.03', '32.50']"
13,5490,POSCO,kospi200,"['4.67', '5.48']","['17.95', '46.52']"
14,66570,LG전자,kospi200,"['5.67', '3.47']","['19.92', '83.89']"
15,36570,엔씨소프트,kospi200,"['37.20', '32.92']","['31.54', '146.84']"
16,17670,SK텔레콤,kospi200,"['7.64', '5.48']","['17.53', '75.95']"
17,105560,KB금융,kospi200,"['12.97', '13.45']","['4.44', '4.58']"
18,15760,한국전력,kospi200,"['14.84', '4.20']","['141.47', '79.11']"
19,96770,SK이노베이션,kospi200,"['-0.34', '-1.80']","['-5.29', '-107.39']"
20,34730,SK,kospi200,"['2.26', '1.98']","['836.78', '75.24']"
21,55550,신한지주,kospi200,"['16.60', '20.53']","['4.32', '3.96']"
22,32830,삼성생명,kospi200,"['4.65', '-2.18']","['12.25', '92.24']"
23,3550,LG,kospi200,"['39.22', '24.98']","['10.47', '46.68']"
24,18260,삼성에스디에스,kospi200,"['7.41', '8.57']","['25.02', '71.86']"
25,9150,삼성전기,kospi200,"['13.22', '12.01']","['28.48', '78.18']"
26,326030,SK바이오팜,kospi200,[],[]
27,90430,아모레퍼시픽,kospi200,"['5.15', '3.25']","['263.76', '1,443.23']"
28,33780,KT&G,kospi200,"['29.70', '23.82']","['11.49', '51.56']"
29,251270,넷마블,kospi200,"['13.60', '12.82']","['67.25', '165.94']"
30,86790,하나금융지주,kospi200,"['15.04', '16.38']","['3.20', '3.44']"
31,11170,롯데케미칼,kospi200,"['6.36', '6.97']","['58.09', '50.93']"
32,810,삼성화재,kospi200,"['6.31', '4.54']","['13.45', '13.31']"
33,18880,한온시스템,kospi200,"['6.29', '8.55']","['46.92', '72.29']"
34,10950,S-Oil,kospi200,"['-0.24', '0.92']","['-6.92', '407.97']"
35,9540,한국조선해양,kospi200,"['1.18', '1.58']","['274.07', '240.95']"
36,9830,한화솔루션,kospi200,"['9.60', '6.98']","['-68.41', '78.88']"
37,10130,고려아연,kospi200,"['13.53', '12.64']","['12.68', '39.07']"
38,316140,우리금융지주,kospi200,"['11.51', '15.69']","['4.65', '4.60']"
39,86280,현대글로비스,kospi200,"['4.40', '4.44']","['8.09', '45.45']"
40,34220,LG디스플레이,kospi200,"['2.44', '3.47']","['-2.23', '66.71']"
41,19170,신풍제약,kospi200,"['4.88', '2.72']","['908.76', '3,479.75']"
