,종목코드,종목명,분류,영업이익률,PER,가중치
0,5930,삼성전자,kospi200,18.45,15.89,0.24743266205160477
1,660,SK하이닉스,kospi200,15.99,21.31,0.20682632566870016
2,51910,LG화학,kospi200,12.02,61.1,0.13656661211129295
3,207940,삼성바이오로직스,kospi200,34.14,141.2,0.34848215297450424
4,68270,셀트리온,kospi200,44.7,68.24,0.46165416178194607
5,35420,NAVER,kospi200,21.44,59.03,0.23134053870913096
6,6400,삼성SDI,kospi200,8.66,147.91,0.09336086809546346
7,5380,현대차,kospi200,-1.14,42.65,0.012046658851113718
8,35720,카카오,kospi200,10.92,-404.46,0.10672756762102557
9,28260,삼성물산,kospi200,2.74,17.59,0.08425048322910744
10,51900,LG생활건강,kospi200,15.82,32.44,0.189026140567201
11,270,기아차,kospi200,1.2,21.79,0.05789261128958238
12,12330,현대모비스,kospi200,5.99,14.03,0.13117583749109052
13,5490,POSCO,kospi200,4.67,17.95,0.10241030640668525
14,66570,LG전자,kospi200,5.67,19.92,0.10690080321285139
15,36570,엔씨소프트,kospi200,37.2,31.54,0.403705770450222
16,17670,SK텔레콤,kospi200,7.64,17.53,0.13344506560182542
17,105560,KB금융,kospi200,12.97,4.44,0.3549252252252252
18,15760,한국전력,kospi200,14.84,141.47,0.15546863646002687
19,96770,SK이노베이션,kospi200,-0.34,-5.29,-0.19243591682419658
20,34730,SK,kospi200,2.26,836.78,0.02379505724324195
21,55550,신한지주,kospi200,16.6,4.32,0.39748148148148144
22,32830,삼성생명,kospi200,4.65,12.25,0.12813265306122448
23,3550,LG,kospi200,39.22,10.47,0.48771098376313277
24,18260,삼성에스디에스,kospi200,7.41,25.02,0.11406802557953638
25,9150,삼성전기,kospi200,13.22,28.48,0.1673123595505618
26,326030,SK바이오팜,kospi200,1.0,-1.0,-0.99
27,90430,아모레퍼시픽,kospi200,5.15,263.76,0.05529132544737641
28,33780,KT&G,kospi200,29.7,11.49,0.38403220191470844
29,251270,넷마블,kospi200,13.6,67.25,0.15086988847583643
30,86790,하나금융지주,kospi200,15.04,3.2,0.4629
31,11170,롯데케미칼,kospi200,6.36,58.09,0.08081466689619557
32,810,삼성화재,kospi200,6.31,13.45,0.13744944237918216
33,18880,한온시스템,kospi200,6.29,46.92,0.08421287297527706
34,10950,S-Oil,kospi200,-0.24,-6.92,-0.14690867052023124
35,9540,한국조선해양,kospi200,1.18,274.07,0.015448702886123983
36,9830,한화솔루션,kospi200,9.6,-68.41,0.0813822540564245
37,10130,고려아연,kospi200,13.53,12.68,0.21416435331230282
38,316140,우리금융지주,kospi200,11.51,4.65,0.33015376344086017
39,86280,현대글로비스,kospi200,4.4,8.09,0.16760939431396787
40,34220,LG디스플레이,kospi200,2.44,-2.23,-0.42403049327354264
41,19170,신풍제약,kospi200,4.88,908.76,0.04990040054579867
42,24110,기업은행,kospi200,15.11,3.87,0.40949793281653746
43,3670,포스코케미칼,kospi200,4.99,178.96,0.05548784085829236
44,30200,KT,kospi200,4.87,9.78,0.15094948875255623
45,6800,미래에셋대우,kospi200,23.99,7.94,0.3658445843828715
46,97950,CJ제일제당,kospi200,6.34,8.2,0.18535121951219513
47,352820,빅히트,kospi200,17.91,48.74,0.1996170291341814
48,21240,코웨이,kospi200,21.07,16.39,0.27171281269066505
49,4020,현대제철,kospi200,0.75,-13.32,-0.06757507507507507
50,32640,LG유플러스,kospi200,7.52,6.34,0.23292870662460566
51,34020,두산중공업,kospi200,-1.4,-0.95,-1.0666315789473684
52,35250,강원랜드,kospi200,-84.68,-24.22,-0.888088191577209
53,8930,한미사이언스,kospi200,4.55,77.68,0.05837332646755922
54,100,유한양행,kospi200,4.74,23.65,0.08968329809725159
55,271560,오리온,kospi200,18.05,18.92,0.23335412262156446
56,161390,한국타이어앤테크놀로지,kospi200,11.92,15.16,0.18516306068601585
57,6280,녹십자,kospi200,12.09,59.42,0.13772935038707507
58,3490,대한항공,kospi200,-1.97,-4.3,-0.25225813953488374
59,285130,SK케미칼,kospi200,6.12,6.61,0.212485930408472
60,11200,HMM,kospi200,16.12,-23.26,0.11820773860705075
61,2790,아모레G,kospi200,5.05,172.58,0.05629441418472592
62,267250,현대중공업지주,kospi200,2.21,-13.21,-0.0536002271006813
63,10140,삼성중공업,kospi200,-0.8,-2.69,-0.3797472118959108
64,71050,한국금융지주,kospi200,7.32,4.21,0.3107296912114014
65,11780,금호석유,kospi200,17.99,9.41,0.28616992561105203
66,128940,한미약품,kospi200,-12.09,-2615.67,-0.12128231122427523
67,11070,LG이노텍,kospi200,4.01,28.1,0.07568718861209964
68,139480,이마트,kospi200,2.56,7.06,0.167243059490085
69,180640,한진칼,kospi200,-150.4,-12.35,-1.5849716599190284
70,720,현대건설,kospi200,3.46,14.85,0.10194006734006733
71,120,CJ대한통운,kospi200,3.33,32.0,0.06455
72,29780,삼성카드,kospi200,22.46,7.93,0.3507034047919294
73,4990,롯데지주,kospi200,2.28,-4.77,-0.186843605870021
74,16360,삼성증권,kospi200,20.63,7.23,0.3446125864453665
75,11790,SKC,kospi200,7.64,36.84,0.1035444082519001
76,78930,GS,kospi200,12.06,-33.62,0.0908558001189768
77,336260,두산퓨얼셀,kospi200,7.19,124.02,0.07996321561038543
78,26960,동서,kospi200,7.48,11.49,0.16183220191470843
79,3410,쌍용양회,kospi200,15.64,23.59,0.1987908435777872
80,12750,에스원,kospi200,8.39,23.03,0.12732162396873642
81,8770,호텔신라,kospi200,-2.25,-23.09,-0.06580879168471199
82,5940,NH투자증권,kospi200,14.99,5.41,0.3347428835489834
83,5830,DB손해보험,kospi200,5.57,5.6,0.23427142857142857
84,112610,씨에스윈드,kospi200,11.59,32.72,0.14646234718826406
85,6360,GS건설,kospi200,9.04,6.32,0.2486278481012658
86,39490,키움증권,kospi200,15.1,5.85,0.3219401709401709
87,241560,두산밥캣,kospi200,10.22,14.55,0.17092852233676975
88,42660,대우조선해양,kospi200,2.33,14.65,0.09155938566552901
89,3090,대웅,kospi200,5.88,34.0,0.08821176470588235
90,23530,롯데쇼핑,kospi200,2.71,-1.66,-0.5753096385542169
91,210,대림산업,kospi200,11.23,4.1,0.3562024390243903
92,36460,한국가스공사,kospi200,-6.6,-4.53,-0.28675055187637966
93,204320,만도,kospi200,4.37,-30.18,0.010565473823724324
94,1040,CJ,kospi200,4.6,16.77,0.10563029218843173
95,28670,팬오션,kospi200,9.92,13.53,0.173109830007391
96,7070,GS리테일,kospi200,3.36,15.27,0.09908788474132285
97,81660,휠라홀딩스,kospi200,16.96,12.36,0.2505061488673139
98,28050,삼성엔지니어링,kospi200,6.24,8.09,0.18600939431396787
99,47810,한국항공우주,kospi200,4.47,16.79,0.10425926146515783
