과목번호,분반,과목코드,과목명,교수,담은인원,수강생수,exp_capa,review,popular,score
COR1016,01,COR1016-01,알바트로스세미나(경영),민재형,56,7,11,0.0,0,6.618181818181818
COR1013,05,COR1013-05,자연계글쓰기,김영경,108,30,27,10.0,0,5.252000000000001
ETS2004,01,ETS2004-01,종교와세계문화,김종만,186,157,49,4.0,0,4.954432653061224
COR1003,02,COR1003-02,영어글로벌의사소통I,김영옥,97,26,26,20.0,0,4.947000000000001
COR1003,09,COR1003-09,영어글로벌의사소통I,홍진영,85,26,23,24.0,0,4.919652173913043
COR1003,01,COR1003-01,영어글로벌의사소통I,김영옥,94,26,26,20.0,0,4.7940000000000005
MGT4247,01,MGT4247-01,공급체인관리와e-business,김민균,127,140,46,6.0,1,4.693864782608696
MGT4313,01,MGT4313-01,벤처와금융시장(캡스톤디자인),정유신,225,196,87,10.0,1,4.414396551724138
PHY1101,02,PHY1101-02,일반물리실험I,손원민,60,20,18,3.0,0,4.346333333333333
MGT4505,01,MGT4505-01,브랜드전략론,전성률,211,194,86,12.0,1,4.196152093023256
CSE2003,03,CSE2003-03,기초공학설계,서정연,51,45,16,3.0,0,4.1561812499999995
SHS2005,04,SHS2005-04,법과지식산업,강기봉,303,229,107,76.0,0,3.9610878504672904
PHY1101,04,PHY1101-04,일반물리실험I,손원민,54,16,18,3.0,0,3.9116999999999997
COR1016,20,COR1016-20,알바트로스세미나(경영),조봉순,33,8,11,1.0,0,3.9038999999999993
ECO2001,08,ECO2001-08,경제학원론I,왕윤종,229,167,105,19.0,1,3.7558399047619044
ETS2004,02,ETS2004-02,종교와세계문화,박현준,162,158,58,32.0,0,3.747227586206897
PEP3100,01,PEP3100-01,사회변동과제도의정치경제학,구본우,33,27,12,1.0,0,3.5785749999999994
COR1012,04,COR1012-04,인문사회글쓰기,조원규,82,31,32,66.0,0,3.5511125000000003
STS2004,02,STS2004-02,대학수학,김순영,139,98,55,73.0,0,3.5252927272727272
COR1013,04,COR1013-04,자연계글쓰기,김영경,72,30,27,10.0,0,3.5013333333333336
