과목번호-분반,과목명,교수,학점,수업시간/강의실,학년,강의평,담은 인원,비고
ENG2001-01,영문학개론,"Disney, Daniel James Philip",3,"화,목 16:30~17:45 [J204]",1학년,,17,"영어강의, 1-2학년"
ENG2001-02,영문학개론,"Disney, Daniel James Philip",3,"월,수 16:30~17:45 [J110]",1학년,,6,"영어강의, 전학년"
ENG2002-01,영문학배경,김치헌,3,"화,목 09:00~10:15 [J202]",2-4학년,,24,"영어강의, 1-4학년"
ENG2002-02,영문학배경,윤주옥,3,"월,수 12:00~13:15 [J319]",2-4학년,,6,"영어강의, 1-4학년"
ENG2003-01,언어학개론,Barrie Michael Jonathan Mathew,3,"화,목 12:00~13:15 [J307]",1-4학년,,40,영어강의
ENG2003-02,언어학개론,허세문,3,월 13:30~16:15 [J207],1-4학년,,33,전학년
ENG2004-01,현대영미문학,신경원,3,"화,목 12:00~13:15 [J209]",2-4학년,,5,
ENG2006-01,연극의이해,Chambers Claire Maria,3,"화,목 10:30~11:45 [J311]",2-4학년,,14,"영어강의, 1-2학년 우선 수강대상, 연극을통한영어연습(ENG2110)의 대체과목"
ENG2009-01,영미단편소설,장기윤,3,"월,수 12:00~13:15 [J317]",2-4학년,,16,"영어강의, 2-4학년"
ENG2101-01,영문학작문,"Bonfiglio, Richard Paul",3,"화,목 13:30~14:45 [J209]",1-2학년,,13,"영어강의, 1학년 대상"
ENG2101-02,영문학작문,"Disney, Daniel James Philip",3,"월,수 10:30~11:45 [J209]",1-2학년,,14,"영어강의, 1-4학년 대상"
ENG2101-04,영문학작문,신문주,3,"화,목 09:00~10:15 [J217]",1-2학년,,16,"영어강의, 전학년 대상"
ENG2103-01,작문과수사학,채서영,3,"수,금 15:00~16:15 [J211]",2-4학년,,15,"2-4학년/ 20명 이하, 영작문연습(ENG2107)의 대체과목"
ENG2104-01,실용영문법,Yoo Isaiah WonHo,3,"월,수 12:00~13:15 [J102]",2-4학년,,64,영어강의
ENG3002-01,초기영문학,윤주옥,3,"월,수 10:30~11:45 [J319]",2-4학년,,21,2-4학년
ENG3004-01,셰익스피어,김태원,3,"화,목 16:30~17:45 [J219]",2-4학년,,18,
ENG3011-01,19세기미국문학,장기윤,3,"월,수 16:30~17:45 [J112]",2-4학년,,5,"영어강의, 2-4학년"
