과목번호-분반,과목명,교수,학점,수업시간/강의실,학년,강의평,담은 인원,비고
GES3009-01,여성심리학,이수련,3,월 13:30~14:45 / 금 12:00~13:15 [D406],전학년,,5,권장학년: 1-4학년
GESG001-01,여성학이론,임옥희,3,목 14:00~17:00 [J111],,,3,권장학년: 3-4학년
ZGKAP25-01,일반한국어5(교환학생용),조수진,12,"월,화,수,목,금 14:30~16:30",,,0,권장학년: 1-4학년
ENG2001-01,영문학개론,장기윤,3,월 10:30~11:45 / 수 12:00~13:15 [J325],1학년,,25,영어강의
ENG2001-02,영문학개론,김태원,3,"화,목 13:30~14:45 [J327]",1학년,,39,영어강의
ENG2003-01,언어학개론,Barrie Michael Jonathan Mathew,3,"화,목 12:00~13:15 [J325]",전학년,,8,영어강의
ENG2005-01,영국문화사,김치헌,3,"화,목 09:00~10:15 [J107]",전학년,,17,영어강의
ENG2007-01,영미수필,신경원,3,"화,목 12:00~13:15 [J217]",전학년,,2,권장학년: 2-4학년
ENG2101-01,영문학작문,"Bonfiglio, Richard Paul",3,월 12:00~13:15 / 금 10:30~11:45 [J202],"1,2학년",,10,영어강의
ENG2101-02,영문학작문,김치헌,3,"화,목 10:30~11:45 [J313]","1,2학년",,18,영어강의
ENG2101-03,영문학작문,신문주,3,"수,금 09:00~10:15 [J313]","3,4학년",,2,영어강의
ENG2106-01,시사영문강독,이성범,3,"화,목 09:00~10:15 [J307]",전학년,,18,권장학년: 1-4학년
ENG3005-01,17세기영문학,김태원,3,"화,목 16:30~17:45 [J327]","2,3,4학년",,15,권장학년: 2-4학년
ENG3008-01,초기영국소설,신경원,3,"화,목 15:00~16:15 [J317]","2,3,4학년",,3,권장학년: 2-4학년
ENG3009-01,빅토리아시대의영문학,"Bonfiglio, Richard Paul",3,"월,금 16:30~17:45 [J217]","2,3,4학년",,6,영어강의
ENG3013-01,초기및19세기미국시,신문주,3,"수,금 15:00~16:15 [J215]","2,3,4학년",,13,권장학년: 2-4학년
ENG3105-01,최근영국문학,김영주,3,월 15:00~16:15 / 수 16:30~17:45 [J219],"2,3,4학년",,5,권장학년: 2-4학년
ENG3106-01,현대미국희곡,Chambers Claire Maria,3,"수,금 13:30~14:45 [J307]","2,3,4학년",,8,영어강의
ENG3216-01,영문학특강,황은주,3,"수,금 13:30~14:45 [J602]","2,3,4학년",,6,권장학년: 2-4학년
ENG3220-01,서양작가론,장기윤,3,월 13:30~14:45 / 금 12:00~13:15 [J219],"2,3,4학년",,7,영어강의
ENG3232-01,영문자서전창작,"Disney, Daniel James Philip",3,월 15:00~16:15 / 수 16:30~17:45 [J313],"2,3,4학년",,4,영어강의
ENG3301-01,영어음성학,정인기,3,"화,목 10:30~11:45 [J319]","2,3,4학년",,3,영어강의
ENG3308-01,심리언어학,조숙환,3,"화,목 13:30~14:45 [J209]","2,3,4학년",,22,권장학년: 2-4학년
ENG3310-01,담화분석개론,이요안,3,월 10:30~11:45 / 수 12:00~13:15 [J602],"2,3,4학년",,6,영어강의
ENG3314-01,모국어습득론,조숙환,3,"화,목 16:30~17:45 [J128]","2,3,4학년",,6,권장학년: 1-4학년
ENG3316-01,"영어듣기,말하기캡스톤디자인",Yoo Isaiah Wonho,3,"화,목 15:00~16:15 [J315]","3,4학년",,4,영어강의
HIS2003-01,한국사개론,김아네스,3,월 09:00~10:15 / 수 10:30~11:45 [J325],전학년,,4,권장학년: 2-4학년
HIS2004-01,동아시아사개론,전인갑,3,"화,목 12:00~13:15 [J602]",전학년,,13,권장학년: 2-4학년
HIS2005-01,서양사개론,임지현,3,"수,금 15:00~16:15 [J107]",전학년,,20,권장학년: 2-4학년
HIS2006-01,역사학입문,임상우,3,월 10:30~11:45 / 수 12:00~13:15 [J311],전학년,,32,권장학년: 1-4학년
HIS3003-01,조선시대사,계승범,3,"화,목 12:00~13:15 [J309]",전학년,,13,권장학년: 2-4학년
