학년도,학기,소속,학과,과목번호,분반,과목명,학점,수업시간/강의실,시간,교수진,수강생수,영어강의,중국어강의,공학인증,국제학생,Honors과목,홀짝구분,승인과목,시험일자,수강대상,권장학년,수강신청 참조사항,과목 설명,비고
2020 학년도,2학기,학부,영미어문전공,ENG2001,1,영문학개론,3.0,"화,목 13:30~14:45",3.0,장기윤,24,O,,,,,,,,전학년,1학년,,,"정하상관, EFL(영어가 외국어인 학생)만 가능"
2020 학년도,2학기,학부,영미어문전공,ENG2003,1,언어학개론,3.0,"화,목 15:00~16:15 [K401]",3.0,Barrie Michael Jonathan Mathew,37,O,,,,,,,,전학년,1-4학년,,,[대면수업]
2020 학년도,2학기,학부,영미어문전공,ENG2003,2,언어학개론,3.0,"화,목 09:00~10:15",3.0,채서영,21,,,,,,,,,,1-4학년,,,
2020 학년도,2학기,학부,영미어문전공,ENG2004,1,현대영미문학,3.0,"화,목 16:30~17:45",3.0,장기윤,27,,,,,,,,,"2,3,4학년",2-4학년,,,
2020 학년도,2학기,학부,영미어문전공,ENG2009,1,영미단편소설,3.0,"수,금 09:00~10:15 [J311]",3.0,황은주,17,,,,,,,,,"2,3,4학년",2-4학년,,,[대면수업]
2020 학년도,2학기,학부,영미어문전공,ENG2101,1,영문학작문,3.0,"월,수 10:30~11:45",3.0,"Disney, Daniel James Philip",19,O,,,,,,,,전학년,1-2학년,,,
2020 학년도,2학기,학부,영미어문전공,ENG2101,2,영문학작문,3.0,"월,수 16:30~17:45 [J128]",3.0,김태원,18,O,,,,,,,,전학년,1-2학년,,,[대면수업]
2020 학년도,2학기,학부,영미어문전공,ENG2101,3,영문학작문,3.0,"화,목 09:00~10:15",3.0,윤주옥,13,O,,,,,,,,,1-2학년,,,
2020 학년도,2학기,학부,영미어문전공,ENG2103,1,작문과수사학,3.0,"화,목 13:30~14:45",3.0,채서영,22,,,,,,,,,,2-4학년,,영작문연습(ENG2107)의 대체과목,
2020 학년도,2학기,학부,영미어문전공,ENG3002,1,초기영문학,3.0,"화,목 12:00~13:15",3.0,윤주옥,23,,,,,,,,,"2,3,4학년",2-4학년,,,
2020 학년도,2학기,학부,영미어문전공,ENG3003,1,르네상스시대의영문학,3.0,"월,수 12:00~13:15",3.0,김태원,34,,,,,,,,,전학년,2-4학년,,,
2020 학년도,2학기,학부,영미어문전공,ENG3010,1,빅토리아시대의소설,3.0,"화,목 10:30~11:45",3.0,BonfiglioRichardPaul,28,O,,,,,,,,"2,3,4학년",2-4학년,,,
2020 학년도,2학기,학부,영미어문전공,ENG3104,1,현대영국소설,3.0,"화,목 15:00~16:15",3.0,김영주,26,,,,,,,,,"2,3,4학년",2-4학년,,,
2020 학년도,2학기,학부,영미어문전공,ENG3107,1,현대미국소설,3.0,"수,금 09:00~10:15",3.0,전선재,44,O,,,,,,,,전학년,2-4학년,,,
2020 학년도,2학기,학부,영미어문전공,ENG3207,1,영어권대중문학,3.0,"수,금 15:00~16:15",3.0,장기윤,31,,,,,,,,,"2,3,4학년",2-4학년,,,
2020 학년도,2학기,학부,영미어문전공,ENG3216,1,영문학특강,3.0,"수,금 13:30~14:45",3.0,황은주,23,,,,,,,,,"2,3,4학년",2-4학년,,,부제: NEW YORK CITY IN LITERATURE
2020 학년도,2학기,학부,영미어문전공,ENG3229,1,비교문학,3.0,"화,목 16:30~17:45",3.0,BonfiglioRichardPaul,12,O,,,,,,,,"2,3,4학년",2-4학년,,,
2020 학년도,2학기,학부,영미어문전공,ENG3303,1,영어사,3.0,"수,금 15:00~16:15",3.0,이성범,25,,,,,,,,,,2-4학년,,영어의이해(AMC2026)의 대체과목,
2020 학년도,2학기,학부,영미어문전공,ENG3304,1,영어음운론,3.0,"월,수 10:30~11:45",3.0,정인기,20,O,,,,,,,,"2,3,4학년",2-4학년,,,
2020 학년도,2학기,학부,영미어문전공,ENG3307,1,영어의미론,3.0,"수,금 13:30~14:45",3.0,이성범,27,,,,,,,,,,2-4학년,,,
2020 학년도,2학기,학부,영미어문전공,ENG3312,1,언어와사회,3.0,"화,목 12:00~13:15",3.0,채서영,28,,,,,,,O,,전학년,2-4학년,,,수강허가과목
2020 학년도,2학기,학부,영미어문전공,ENG3320,1,연결담화를통한스토리텔링,3.0,"화,목 10:30~11:45",3.0,이요안,6,,,,,,,,,전학년,1-4학년,,,
2020 학년도,2학기,학부,영미어문전공,ENG3406,1,영문자서전창작,3.0,"월,수 16:30~17:45",3.0,"Disney, Daniel James Philip",15,O,,,,,,,,전학년,1-4학년,,,
2020 학년도,2학기,학부,영미어문전공,ENG3407,1,대화분석,3.0,"화,목 13:30~14:45",3.0,이요안,14,,,,,,,,,전학년,2-4학년,,(구) ENG3310 담화분석개론,
2020 학년도,2학기,학부,영미어문전공,ENG4099,1,개별연구논문,3.0,,,황은주,2,,,,,O,,O,,전학년,3-4학년,,,주임교수 승인 필요
2020 학년도,2학기,학부,영미어문전공,ENGG003,1,왕정복고및18세기영문학프로세미나,3.0,화 15:00~18:00,3.0,김치헌,4,O,,,,,,,,전학년,3-4학년,,,학석사연계과목
2020 학년도,2학기,학부,영미어문전공,ENGG005,1,20세기영국문학프로세미나,3.0,화 10:30~13:30,3.0,김영주,3,,,,,,,,,전학년,3-4학년,,,학석사연계과목
2020 학년도,2학기,학부,사학전공,HIS2002,1,현대세계의역사적이해,3.0,금 10:30~13:15,3.0,최성철,79,,,,,,,,,전학년,1-2학년,,,
2020 학년도,2학기,학부,사학전공,HIS3002,1,고려시대사,3.0,"수,금 09:00~10:15",3.0,김아네스,13,,,,,,,,,전학년,2-4학년,,(구)한국중세사,
2020 학년도,2학기,학부,사학전공,HIS3005,1,한국현대사,3.0,"수,금 13:30~14:45 [J107]",3.0,정일영,23,,,,,,,,,전학년,2-4학년,,,[대면수업]
2020 학년도,2학기,학부,사학전공,HIS3006,1,중국고대사,3.0,"화,목 12:00~13:15",3.0,정면,35,,,,,,,,,전학년,2-4학년,,,
2020 학년도,2학기,학부,사학전공,HIS3008,1,중국근세사,3.0,"화,목 09:00~10:15",3.0,이기천,101,,,,,,,,,전학년,2-4학년,,,
2020 학년도,2학기,학부,사학전공,HIS3010,1,중국현대사,3.0,"월,수 10:30~11:45",3.0,전인갑,31,,,,,,,,,전학년,2-4학년,,,
2020 학년도,2학기,학부,사학전공,HIS3014,1,일본사개설,3.0,"화,목 15:00~16:15",3.0,정녕,61,,,,,,,,,전학년,2-4학년,,,
2020 학년도,2학기,학부,사학전공,HIS3015,1,요동사,3.0,"화,목 10:30~11:45",3.0,정면,8,,,,,,,,,전학년,2-4학년,,,
2020 학년도,2학기,학부,사학전공,HIS3021,1,서양고대사,3.0,"월,수 16:30~17:45",3.0,오흥식,34,,,,,,,,,전학년,2-4학년,,,
2020 학년도,2학기,학부,사학전공,HIS3037,1,미국사개설,3.0,"화,목 13:30~14:45",3.0,박현숙,13,,,,,,,,,전학년,2-4학년,,,
2020 학년도,2학기,학부,사학전공,HIS3040,1,한국사개론Ⅱ,3.0,"수,금 09:00~10:15",3.0,정일영,14,,,,,,,,,전학년,2-4학년,,(구)세계문명사Ⅰ,
2020 학년도,2학기,학부,사학전공,HIS3041,1,한국사상사,3.0,"화,목 10:30~11:45",3.0,최기영,40,,,,,,,,,전학년,2-4학년,,,
2020 학년도,2학기,학부,사학전공,HIS3052,1,한국금석학,3.0,"월,수 10:30~11:45",3.0,조범환,10,,,,,,,,,전학년,2-4학년,,,
2020 학년도,2학기,학부,사학전공,HIS3057,1,중국사회경제사,3.0,"월,수 12:00~13:15 [J309]",3.0,전인갑,3,,,,,,,,,전학년,2-4학년,,,[대면수업]
2020 학년도,2학기,학부,사학전공,HIS3062,1,서양사개론Ⅱ,3.0,"화,목 16:30~17:45",3.0,백인호,10,,,,,,,,,전학년,2-4학년,,(구)세계문명사Ⅲ,
2020 학년도,2학기,학부,사학전공,HIS3071,1,문화유산현장실습2,1.0,월 16:30~17:45,1.5,계승범,55,,,,,,,,,전학년,1-4학년,,성적평가:S/U,문화유산현장실습4(HIS3073)와 합반
