개설전공,입력코드,과목명,전체,2학년,3학년,4학년,1학년
미국문화전공,AMC2014-01,번역연습,1 : 1.15,1 : 1.00,1 : 0.80,1 : 1.43,쿼터없음
미국문화전공,AMC2020-01,문화와글쓰기,1 : 1.25,1 : 2.00,1 : 2.00,1 : 1.00,1 : 0.29
미국문화전공,AMC2031-01,문화연구입문,1 : 0.07,쿼터없음,쿼터없음,쿼터없음,1 : 0.07
미국문화전공,AMC2031-02,문화연구입문,1 : 0.37,1 : 0.20,1 : 0.35,1 : 0.07,1 : 0.05
미국문화전공,AMC2033-01,미국역사와문화,1 : 0.26,1 : 0.40,1 : 0.09,1 : 0.08,1 : 0.03
미국문화전공,AMC2037-01,미국의아이콘들,1 : 1.03,1 : 1.10,1 : 1.30,1 : 1.00,1 : 0.40
미국문화전공,AMC3037-01,미국영웅,1 : 0.87,1 : 0.53,1 : 0.71,1 : 0.60,쿼터없음
미국문화전공,AMC3090-01,성의문화,1 : 0.60,1 : 0.40,1 : 0.53,1 : 0.26,쿼터없음
미국문화전공,AMC3096-01,대중문화연구,1 : 0.06,1 : 0.10,1 : 0.04,신청없음,쿼터없음
미국문화전공,AMC3097-01,미국텔레비젼,1 : 0.57,1 : 1.10,1 : 0.27,1 : 0.24,쿼터없음
미국문화전공,AMC3098-01,미국문화특강I,1 : 0.31,1 : 0.30,1 : 0.23,1 : 0.11,쿼터없음
미국문화전공,AMC4105-01,포스트모더니즘과탈식민주의,1 : 0.31,1 : 0.20,1 : 0.11,1 : 0.23,쿼터없음
미국문화전공,AMC4120-01,문화와정치,1 : 0.14,1 : 0.30,1 : 0.06,1 : 0.03,쿼터없음
미국문화전공,AMC4140-01,미국영화세미나,1 : 0.51,1 : 0.30,1 : 0.35,1 : 0.35,쿼터없음
아트&테크놀로지전공,ANT2001-01,Modern&Contemporary Art(Capstone design),1 : 1.03,1 : 0.80,1 : 0.91,1 : 1.17,쿼터없음
아트&테크놀로지전공,ANT2003-01,Humanities & creativity,1 : 0.89,1 : 1.50,쿼터없음,쿼터없음,신청없음
아트&테크놀로지전공,ANT2004-01,Drawing,1 : 0.69,1 : 1.80,쿼터없음,쿼터없음,1 : 0.03
아트&테크놀로지전공,ANT2005-01,Computer Graphics,1 : 0.35,1 : 0.10,1 : 0.32,1 : 0.10,쿼터없음
아트&테크놀로지전공,ANT2006-01,Intro to Art & Technology,1 : 0.28,1 : 0.40,쿼터없음,쿼터없음,신청없음
아트&테크놀로지전공,ANT2009-01,Digital Fabrication(Capstone design),1 : 0.38,1 : 0.43,1 : 0.05,1 : 0.04,쿼터없음
아트&테크놀로지전공,ANT2010-01,Intro to Creative Computing,1 : 0.25,1 : 0.10,쿼터없음,쿼터없음,신청없음
아트&테크놀로지전공,ANT3003-01,Web Studio,1 : 0.83,1 : 0.80,1 : 0.53,1 : 0.67,쿼터없음
아트&테크놀로지전공,ANT3010-01,3D Animation Studio I,1 : 0.23,1 : 0.27,1 : 0.08,1 : 0.07,쿼터없음
아트&테크놀로지전공,ANT3017-01,Sound Design,1 : 0.17,1 : 0.40,1 : 0.10,신청없음,쿼터없음
아트&테크놀로지전공,ANT4004-01,Storytelling Workshop,1 : 0.80,1 : 0.48,1 : 0.50,1 : 0.50,쿼터없음
아트&테크놀로지전공,ANT4006-01,졸업창작프로젝트II,1 : 0.01,신청없음,1 : 0.02,신청없음,쿼터없음
아트&테크놀로지전공,ANT4008-01,Physical Computing Studio,1 : 0.09,신청없음,1 : 0.08,1 : 0.03,쿼터없음
아트&테크놀로지전공,ANT4012-01,Immersive Media Studio,1 : 0.13,1 : 0.20,1 : 0.11,신청없음,쿼터없음
아트&테크놀로지전공,ANT4013-01,Creative Capstone Project II,1 : 0.03,쿼터없음,1 : 0.03,1 : 0.02,쿼터없음
생명과학전공,BIO1101-01,일반생물학I,1 : 0.33,1 : 0.93,1 : 0.09,1 : 0.40,1 : 0.04
생명과학전공,BIO1101-02,일반생물학I,1 : 0.30,1 : 0.73,1 : 0.29,1 : 0.33,1 : 0.02
생명과학전공,BIO1101-03,일반생물학I,1 : 0.06,1 : 0.20,1 : 0.05,신청없음,신청없음
생명과학전공,BIO1101-04,일반생물학I,1 : 0.21,1 : 0.53,1 : 0.24,1 : 0.11,1 : 0.02
생명과학전공,BIO1105-02,일반생물학실험I,1 : 0.25,1 : 0.67,1 : 0.50,쿼터없음,신청없음
생명과학전공,BIO1105-03,일반생물학실험I,1 : 0.08,1 : 0.33,신청없음,쿼터없음,신청없음
생명과학전공,BIO1105-05,일반생물학실험I,1 : 0.08,1 : 0.33,신청없음,쿼터없음,신청없음
생명과학전공,BIO1105-06,일반생물학실험I,1 : 0.25,1 : 0.33,신청없음,쿼터없음,1 : 0.25
생명과학전공,BIO1105-07,일반생물학실험I,1 : 0.08,신청없음,신청없음,쿼터없음,1 : 0.13
생명과학전공,BIO1105-09,일반생물학실험I,1 : 0.50,1 : 1.33,1 : 1.00,쿼터없음,신청없음
생명과학전공,BIO1105-10,일반생물학실험I,1 : 0.25,1 : 0.33,신청없음,쿼터없음,신청없음
생명과학전공,BIO2121-01,현대생물학실험I,1 : 0.42,1 : 0.43,1 : 0.14,1 : 0.14,신청없음
생명과학전공,BIO2121-02,현대생물학실험I,1 : 1.17,1 : 1.57,1 : 0.33,1 : 0.67,신청없음
생명과학전공,BIO2121-03,현대생물학실험I,1 : 1.42,1 : 1.71,1 : 1.67,신청없음,신청없음
생명과학전공,BIO2131-01,생화학I,1 : 0.59,1 : 0.97,1 : 0.56,1 : 0.12,1 : 0.03
생명과학전공,BIO2141-01,세포학,1 : 0.56,1 : 0.77,1 : 0.59,1 : 0.11,1 : 0.03
생명과학전공,BIO2350-01,숙주미생물상호작용,1 : 0.07,1 : 0.07,신청없음,1 : 0.06,신청없음
생명과학전공,BIO3123-01,현대생물학실험III,1 : 0.92,1 : 1.00,1 : 0.71,1 : 0.80,쿼터없음
생명과학전공,BIO3123-02,현대생물학실험III,1 : 1.58,1 : 0.50,1 : 1.88,1 : 1.00,쿼터없음
생명과학전공,BIO3123-03,현대생물학실험III,1 : 0.50,신청없음,1 : 0.56,1 : 0.14,쿼터없음
생명과학전공,BIO3161-01,유전학,1 : 0.09,신청없음,1 : 0.07,1 : 0.05,신청없음
생명과학전공,BIO3212-01,생명공학개론,1 : 0.23,1 : 0.07,1 : 0.23,1 : 0.11,신청없음
생명과학전공,BIO3311-01,발생학,1 : 0.11,신청없음,1 : 0.13,1 : 0.05,신청없음
생명과학전공,BIO3712-01,미생물생리학,1 : 0.19,1 : 0.07,1 : 0.18,1 : 0.09,신청없음
생명과학전공,BIO4203-01,생명과학특허와기술이전,1 : 0.06,1 : 0.20,신청없음,1 : 0.05,신청없음
생명과학전공,BIO4252-01,암생물학,1 : 0.13,신청없음,1 : 0.08,1 : 0.10,신청없음
생명과학전공,BIO4321-01,인체생리학,1 : 0.17,신청없음,1 : 0.18,1 : 0.09,신청없음
생명과학전공,BIO4521-01,식물발달생물학,1 : 0.14,신청없음,1 : 0.13,1 : 0.08,신청없음
생명과학전공,BIO4721-01,바이러스학,1 : 0.56,1 : 0.60,1 : 0.74,1 : 0.21,신청없음
생명과학전공,BIO4911-01,최신생명과학탐색,1 : 0.03,신청없음,1 : 0.03,1 : 0.01,쿼터없음
