개설전공 ,입력코드,과목명,구분,전체,1학년,2학년,3학년,4학년
미국문화전공,AMC2020-01,문화와글쓰기,경쟁률,1 : 0.95,1 : 0.57,1 : 0.40,1 : 0.80,1 : 0.75
미국문화전공,AMC2028-01,다문화적의사소통,경쟁률,1 : 0.70,1 : 0.20,1 : 0.43,1 : 0.35,1 : 0.40
미국문화전공,AMC2031-01,미국학입문,경쟁률,1 : 0.60,1 : 0.60,쿼터없음,쿼터없음,쿼터없음
미국문화전공,AMC2031-02,미국학입문,경쟁률,1 : 0.43,1 : 0.60,1 : 0.21,1 : 0.13,1 : 0.11
미국문화전공,AMC2033-01,미국역사와문화,경쟁률,1 : 1.28,1 : 3.80,1 : 0.65,1 : 0.53,1 : 0.22
미국문화전공,AMC3045-01,시각예술,경쟁률,1 : 0.40,쿼터없음,1 : 0.40,1 : 0.23,1 : 0.20
미국문화전공,AMC3050-01,미국영화장르연구,경쟁률,1 : 0.48,쿼터없음,1 : 0.80,1 : 0.18,1 : 0.18
미국문화전공,AMC3056-01,세계속의미국영화,경쟁률,1 : 0.48,쿼터없음,1 : 0.80,1 : 0.23,1 : 0.22
미국문화전공,AMC3060-01,각색연구,경쟁률,1 : 0.33,쿼터없음,1 : 0.40,1 : 0.27,1 : 0.07
미국문화전공,AMC3070-01,문화적정체성,경쟁률,1 : 0.55,쿼터없음,1 : 1.30,1 : 0.15,1 : 0.22
미국문화전공,AMC3075-01,미국의지역문화,경쟁률,1 : 0.10,쿼터없음,1 : 0.20,1 : 0.04,1 : 0.03
미국문화전공,AMC3087-01,각년대의미국문화,경쟁률,1 : 0.23,쿼터없음,1 : 0.30,1 : 0.11,1 : 0.09
미국문화전공,AMC3099-01,미국문화특강II,경쟁률,1 : 0.08,쿼터없음,1 : 0.20,1 : 0.04,신청없음
미국문화전공,AMC4130-01,1960년대의저항문화,경쟁률,1 : 0.75,쿼터없음,1 : 1.80,1 : 0.93,1 : 0.33
미국문화전공,AMC4135-01,젠더세미나,경쟁률,1 : 0.35,쿼터없음,1 : 0.40,1 : 0.39,1 : 0.16
미국문화전공,AMC4150-01,미국원주민계문화,경쟁률,1 : 0.15,쿼터없음,신청없음,1 : 0.10,1 : 0.11
아트&테크놀로지전공,ANT2002-01,Content Planning & Development(Capstone),경쟁률,1 : 0.08,쿼터없음,신청없음,1 : 0.10,신청없음
아트&테크놀로지전공,ANT2007-01,Foundation Seminar,경쟁률,1 : 0.60,1 : 0.40,1 : 0.39,1 : 0.12,1 : 0.06
