전공,입력코드,과목명,구분,전체,2학년,3학년,4학년,1학년
미국문화전공,AMC2014-01,번역연습,경쟁률,1 : 1.05,1 : 1.33,1 : 0.43,1 : 0.91,쿼터없음
미국문화전공,AMC2020-01,문화와글쓰기,경쟁률,1 : 0.85,1 : 0.80,1 : 1.00,1 : 1.50,신청없음
미국문화전공,AMC2031-02,미국학입문,경쟁률,1 : 0.10,1 : 0.30,신청없음,신청없음,신청없음
미국문화전공,AMC2033-01,미국역사와문화,경쟁률,1 : 0.56,1 : 0.84,1 : 0.14,1 : 0.18,1 : 0.08
미국문화전공,AMC3041-01,미국음악장르연구,경쟁률,1 : 0.80,1 : 1.07,1 : 0.33,1 : 0.55,쿼터없음
미국문화전공,AMC3065-01,세계속의미국문화,경쟁률,1 : 0.60,1 : 0.53,1 : 0.41,1 : 0.30,쿼터없음
미국문화전공,AMC3077-01,미국서부,경쟁률,1 : 0.58,1 : 0.47,1 : 0.26,1 : 0.37,쿼터없음
미국문화전공,AMC3082-01,미국흑인문화,경쟁률,1 : 0.30,1 : 0.07,1 : 0.17,1 : 0.18,쿼터없음
미국문화전공,AMC3095-01,환경과문화,경쟁률,1 : 0.58,1 : 0.47,1 : 0.35,1 : 0.32,쿼터없음
미국문화전공,AMC3099-01,미국문화특강II,경쟁률,1 : 0.25,1 : 0.20,1 : 0.11,1 : 0.12,쿼터없음
미국문화전공,AMC4100-01,모더니즘과사회변화,경쟁률,1 : 0.50,1 : 0.40,1 : 0.61,1 : 0.26,쿼터없음
미국문화전공,AMC4125-01,인간과과학기술,경쟁률,1 : 0.38,1 : 0.80,1 : 0.25,1 : 0.22,쿼터없음
아트&테크놀로지전공,ANT2001-01,Modern&Contemporary Art(Capstone design),경쟁률,1 : 0.71,1 : 0.53,1 : 0.27,1 : 0.52,쿼터없음
아트&테크놀로지전공,ANT2003-01,Humanities & creativity,경쟁률,1 : 0.60,1 : 0.50,1 : 1.60,1 : 1.67,신청없음
아트&테크놀로지전공,ANT2003-02,Humanities & creativity,경쟁률,1 : 0.56,1 : 0.75,1 : 1.50,1 : 1.67,신청없음
아트&테크놀로지전공,ANT2004-01,Drawing(Capstone design),경쟁률,1 : 0.77,1 : 2.00,1 : 8.00,1 : 7.00,신청없음
아트&테크놀로지전공,ANT2005-01,Computer Graphics,경쟁률,1 : 0.60,1 : 0.07,1 : 0.24,1 : 0.48,쿼터없음
아트&테크놀로지전공,ANT2006-01,Intro to Art & Technology,경쟁률,1 : 0.60,1 : 2.25,1 : 3.33,1 : 1.33,1 : 0.03
아트&테크놀로지전공,ANT2009-01,Digital Fabrication(Capstone design),경쟁률,1 : 0.74,1 : 0.73,1 : 0.63,1 : 0.25,쿼터없음
아트&테크놀로지전공,ANT2011-01,Intro to Sound,경쟁률,1 : 1.06,1 : 1.47,1 : 0.67,1 : 0.50,쿼터없음
아트&테크놀로지전공,ANT3003-01,Web Studio,경쟁률,1 : 0.69,1 : 0.53,1 : 0.32,1 : 0.45,쿼터없음
아트&테크놀로지전공,ANT3016-01,Creative Algorithms,경쟁률,1 : 0.34,1 : 0.47,1 : 0.17,1 : 0.04,쿼터없음
아트&테크놀로지전공,ANT4004-01,Storytelling Workshop,경쟁률,1 : 0.81,1 : 0.40,1 : 0.41,1 : 0.60,쿼터없음
아트&테크놀로지전공,ANT4008-01,Physical Computing Studio,경쟁률,1 : 0.14,신청없음,1 : 0.03,1 : 0.12,쿼터없음
아트&테크놀로지전공,ANT4010-01,졸업창작프로젝트III,경쟁률,1 : 0.40,쿼터없음,쿼터없음,1 : 0.40,쿼터없음
아트&테크놀로지전공,ANT4012-01,Immersive Media Studio,경쟁률,1 : 0.17,1 : 0.07,1 : 0.14,1 : 0.03,쿼터없음
