전공,입력코드,과목명,구분,1학년,2학년,3학년,4학년
미국문화전공,AMC2020-01,문화와글쓰기,경쟁률,1 : 3.20,1 : 2.20,1 : 1.00,1 : 0.40
미국문화전공,AMC2028-01,다문화적의사소통,경쟁률,쿼터없음,1 : 1.00,1 : 1.00,1 : 1.00
미국문화전공,AMC2031-01,미국학입문,경쟁률,1 : 0.43,쿼터없음,쿼터없음,쿼터없음
미국문화전공,AMC2031-02,미국학입문,경쟁률,쿼터없음,1 : 0.30,신청없음,1 : 0.07
미국문화전공,AMC2033-01,미국역사와문화,경쟁률,1 : 0.90,1 : 0.25,1 : 0.07,1 : 0.06
미국문화전공,AMC3035-01,아메리칸드림,경쟁률,쿼터없음,1 : 0.60,1 : 0.29,1 : 0.08
미국문화전공,AMC3040-01,대중음악,경쟁률,쿼터없음,1 : 1.27,1 : 1.20,1 : 1.20
미국문화전공,AMC3055-01,미국영화주제연구,경쟁률,쿼터없음,1 : 1.73,1 : 0.80,1 : 0.69
미국문화전공,AMC3057-01,SF문학과영화,경쟁률,쿼터없음,1 : 0.53,1 : 0.27,1 : 0.35
미국문화전공,AMC3080-01,미국의다문화주의,경쟁률,쿼터없음,1 : 0.67,1 : 0.10,1 : 0.07
미국문화전공,AMC4099-01,논문세미나,경쟁률,쿼터없음,쿼터없음,쿼터없음,쿼터없음
미국문화전공,AMC4155-01,미국아시아계문화,경쟁률,쿼터없음,신청없음,1 : 0.20,1 : 0.17
미국문화전공,AMC4199-01,미국문화세미나,경쟁률,쿼터없음,1 : 0.70,1 : 0.33,1 : 0.48
아트&테크놀로지전공,ANT2007-01,Foundation Seminar,경쟁률,1 : 0.33,1 : 0.26,1 : 0.15,1 : 0.05
아트&테크놀로지전공,ANT2010-01,Intro to Creative Computing,경쟁률,1 : 0.83,1 : 0.50,1 : 1.14,1 : 1.67
아트&테크놀로지전공,ANT2015-01,Design,경쟁률,1 : 0.70,1 : 0.50,1 : 1.00,1 : 3.00
아트&테크놀로지전공,ANT2016-01,Spatial Dynamics,경쟁률,1 : 0.50,1 : 0.50,1 : 0.64,1 : 0.67
아트&테크놀로지전공,ANT2017-01,Programming Interactivity,경쟁률,쿼터없음,1 : 0.27,1 : 0.08,신청없음
아트&테크놀로지전공,ANT3001-01,Content Business&Marketing(Capstone),경쟁률,쿼터없음,1 : 0.13,1 : 0.07,1 : 0.13
