전공,입력코드,과목명,2학년,3학년,4학년,1학년
미국문화전공,AMC2014-01,번역연습,1 : 1.40,1 : 0.90,1 : 1.50,쿼터없음
미국문화전공,AMC2020-01,문화와글쓰기,1 : 4.00,1 : 1.80,1 : 0.20,1 : 0.11
미국문화전공,AMC2031-01,미국학입문,1 : 0.30,1 : 0.08,1 : 0.06,신청없음
미국문화전공,AMC2033-01,미국역사와문화,1 : 2.00,1 : 0.47,1 : 0.11,1 : 0.04
미국문화전공,AMC2037-01,미국의아이콘들,1 : 1.90,1 : 2.10,1 : 0.70,쿼터없음
미국문화전공,AMC3037-01,미국영웅,1 : 0.13,1 : 0.14,1 : 0.03,쿼터없음
미국문화전공,AMC3050-01,미국영화장르연구,1 : 0.13,1 : 0.29,1 : 0.10,쿼터없음
미국문화전공,AMC3058-01,팬터지문학과영화,1 : 0.73,1 : 0.32,1 : 0.17,쿼터없음
미국문화전공,AMC3090-01,성의문화,1 : 0.87,1 : 0.76,1 : 0.36,쿼터없음
미국문화전공,AMC3096-01,대중문화연구,1 : 0.07,1 : 0.28,1 : 0.06,쿼터없음
미국문화전공,AMC4130-01,1960년대의저항문화,1 : 0.20,1 : 0.35,1 : 0.30,쿼터없음
미국문화전공,AMC4140-01,미국영화세미나,1 : 0.60,1 : 0.53,1 : 0.42,쿼터없음
아트&테크놀로지전공,ANT2001-01,Modern&Contemporary Art(Capstone design),1 : 0.67,1 : 0.35,1 : 0.22,쿼터없음
아트&테크놀로지전공,ANT2002-01,Content Planning & Development(Capstone),1 : 0.07,1 : 0.14,1 : 0.17,쿼터없음
아트&테크놀로지전공,ANT2003-01,Humanities & creativity,신청없음,1 : 0.86,1 : 2.75,신청없음
아트&테크놀로지전공,ANT2003-02,Humanities & creativity,1 : 0.75,1 : 1.50,1 : 1.67,1 : 0.07
아트&테크놀로지전공,ANT2005-01,Computer Graphics,1 : 0.07,1 : 0.28,1 : 0.42,쿼터없음
아트&테크놀로지전공,ANT2006-01,Intro to Art & Technology,1 : 1.50,1 : 3.33,1 : 2.33,신청없음
아트&테크놀로지전공,ANT2009-01,Digital Fabrication(Capstone design),1 : 0.80,1 : 0.33,1 : 0.24,쿼터없음
아트&테크놀로지전공,ANT2011-01,Intro to Sound,1 : 1.90,1 : 0.90,1 : 2.00,신청없음
아트&테크놀로지전공,ANT2015-01,Design,1 : 1.00,1 : 1.00,1 : 1.00,1 : 0.07
아트&테크놀로지전공,ANT2015-02,Design,1 : 3.25,1 : 1.67,1 : 0.33,신청없음
아트&테크놀로지전공,ANT3003-01,Web Studio,1 : 0.20,1 : 0.19,1 : 0.48,쿼터없음
아트&테크놀로지전공,ANT3016-01,Creative Algorithms,1 : 0.47,1 : 0.30,1 : 0.10,쿼터없음
아트&테크놀로지전공,ANT4002-01,졸업창작프로젝트I,쿼터없음,신청없음,1 : 0.02,쿼터없음
아트&테크놀로지전공,ANT4004-01,Storytelling Workshop,1 : 0.40,1 : 0.21,1 : 0.42,쿼터없음
아트&테크놀로지전공,ANT4008-01,Physical Computing Studio,신청없음,1 : 0.07,1 : 0.05,쿼터없음
아트&테크놀로지전공,ANT4012-01,Immersive Media Studio,신청없음,1 : 0.10,1 : 0.06,쿼터없음
아트&테크놀로지전공,ANT4013-01,Creative Capstone Project II,쿼터없음,1 : 0.10,1 : 0.09,쿼터없음
아트&테크놀로지전공,ANT4020-01,Creative Capstone Project I,쿼터없음,1 : 0.07,1 : 0.03,쿼터없음
생명과학전공,BIO1101-01,일반생물학I,1 : 1.53,1 : 0.60,1 : 0.89,신청없음
생명과학전공,BIO1101-02,일반생물학I,1 : 0.87,1 : 0.17,신청없음,1 : 0.04
생명과학전공,BIO1101-03,일반생물학I,1 : 0.47,1 : 0.33,1 : 0.24,신청없음
생명과학전공,BIO1101-04,일반생물학I,1 : 0.13,신청없음,신청없음,신청없음
생명과학전공,BIO1105-01,일반생물학실험I,신청없음,신청없음,쿼터없음,신청없음
생명과학전공,BIO1105-02,일반생물학실험I,1 : 1.00,1 : 0.50,쿼터없음,신청없음
생명과학전공,BIO1105-03,일반생물학실험I,신청없음,신청없음,쿼터없음,신청없음
생명과학전공,BIO1105-04,일반생물학실험I,신청없음,1 : 0.20,쿼터없음,신청없음
생명과학전공,BIO1105-05,일반생물학실험I,신청없음,신청없음,쿼터없음,1 : 0.20
생명과학전공,BIO1105-06,일반생물학실험I,1 : 0.33,1 : 0.25,쿼터없음,신청없음
생명과학전공,BIO1105-07,일반생물학실험I,1 : 0.33,1 : 0.50,쿼터없음,신청없음
생명과학전공,BIO1105-09,일반생물학실험I,1 : 0.33,1 : 0.25,쿼터없음,신청없음
생명과학전공,BIO1105-10,일반생물학실험I,1 : 0.33,1 : 0.25,쿼터없음,신청없음
생명과학전공,BIO2121-01,현대생물학실험I,1 : 1.86,1 : 0.67,신청없음,신청없음
생명과학전공,BIO2121-02,현대생물학실험I,1 : 1.57,1 : 0.67,1 : 1.50,1 : 1.00
생명과학전공,BIO2121-03,현대생물학실험I,1 : 1.43,1 : 0.33,신청없음,신청없음
생명과학전공,BIO2121-04,현대생물학실험I,1 : 1.43,1 : 0.33,신청없음,신청없음
생명과학전공,BIO2131-01,생화학I,1 : 1.10,1 : 0.47,1 : 0.11,1 : 0.06
생명과학전공,BIO2141-01,세포학,1 : 0.93,1 : 0.47,1 : 0.21,1 : 0.10
생명과학전공,BIO2350-01,숙주미생물상호작용,1 : 0.17,1 : 0.43,1 : 0.12,1 : 0.02
생명과학전공,BIO2601-01,유전자클로닝개론,1 : 0.20,1 : 0.21,1 : 0.07,신청없음
생명과학전공,BIO3123-01,현대생물학실험III,1 : 0.33,1 : 0.25,1 : 0.11,쿼터없음
생명과학전공,BIO3123-02,현대생물학실험III,1 : 0.33,1 : 0.38,신청없음,쿼터없음
생명과학전공,BIO3123-03,현대생물학실험III,신청없음,1 : 1.56,1 : 2.33,쿼터없음
생명과학전공,BIO3123-04,현대생물학실험III,신청없음,1 : 1.44,1 : 0.67,쿼터없음
생명과학전공,BIO3161-01,유전학,1 : 0.07,1 : 0.23,1 : 0.04,신청없음
생명과학전공,BIO3212-01,생명공학개론,신청없음,1 : 0.55,1 : 0.12,신청없음
생명과학전공,BIO3712-01,미생물생리학,1 : 0.07,1 : 0.33,1 : 0.06,신청없음
생명과학전공,BIO4203-01,생명과학특허와기술이전,신청없음,1 : 0.04,1 : 0.02,신청없음
생명과학전공,BIO4252-01,암생물학,신청없음,1 : 0.05,1 : 0.10,신청없음
생명과학전공,BIO4321-01,인체생리학,신청없음,1 : 0.43,1 : 0.27,신청없음
생명과학전공,BIO4521-01,식물발달생물학,신청없음,1 : 0.15,1 : 0.14,신청없음
생명과학전공,BIO4921-01,특수연구,쿼터없음,쿼터없음,1 : 0.15,쿼터없음
바이오융합기술연계전공,BNT3002-01,바이오융합기술프로젝트II,쿼터없음,1 : 0.30,1 : 0.06,쿼터없음
바이오융합기술연계전공,BNT3006-01,의공학개론I,쿼터없음,1 : 0.15,1 : 0.32,쿼터없음
바이오융합기술연계전공,BNT3091-01,특수연구I,쿼터없음,쿼터없음,1 : 0.05,쿼터없음
바이오융합기술연계전공,BNTG001-01,바이오테크놀로지,쿼터없음,1 : 0.06,1 : 0.06,쿼터없음
바이오융합기술연계전공,BNTG008-01,바이오융합산업기술,쿼터없음,신청없음,1 : 0.53,쿼터없음
바이오융합기술연계전공,BNTG031-01,지식재산권과특허,신청없음,1 : 0.10,1 : 0.11,쿼터없음
화공생명공학전공,CBE2003-01,화공생명공학양론,1 : 0.41,쿼터없음,쿼터없음,쿼터없음
화공생명공학전공,CBE2003-02,화공생명공학양론,1 : 0.54,쿼터없음,쿼터없음,쿼터없음
