전공,입력코드,과목명,1학년,2학년,3학년 ,4학년
미국문화전공,AMC2020-01,문화와글쓰기,1 : 0.60,1 : 1.29,1 : 0.60,1 : 0.43
미국문화전공,AMC2031-01,미국학입문,쿼터없음,1 : 0.40,1 : 0.25,1 : 0.05
미국문화전공,AMC2031-02,미국학입문,1 : 0.43,쿼터없음,쿼터없음,쿼터없음
미국문화전공,AMC2033-01,미국문화사,쿼터없음,1 : 0.27,신청없음,1 : 0.08
미국문화전공,AMC2037-01,미국의아이콘들,1 : 0.90,1 : 0.91,쿼터없음,쿼터없음
미국문화전공,AMC3041-01,미국음악장르연구,쿼터없음,1 : 0.47,1 : 0.22,신청없음
미국문화전공,AMC3045-01,시각예술,쿼터없음,1 : 0.33,1 : 0.16,1 : 0.16
미국문화전공,AMC3070-01,문화적정체성,쿼터없음,1 : 0.67,1 : 0.20,1 : 0.12
미국문화전공,AMC3077-01,미국서부,쿼터없음,1 : 0.60,1 : 0.29,1 : 0.28
미국문화전공,AMC3087-01,각년대의미국문화,쿼터없음,1 : 0.20,1 : 0.07,1 : 0.09
미국문화전공,AMC3095-01,환경과미국문화,쿼터없음,1 : 0.27,1 : 0.19,1 : 0.10
미국문화전공,AMC4100-01,모더니즘과사회변화,쿼터없음,1 : 0.20,1 : 0.30,1 : 0.23
미국문화전공,AMC4120-01,문화와정치,쿼터없음,1 : 0.30,1 : 0.27,1 : 0.32
미국문화전공,AMC4150-01,미국원주민계문화,쿼터없음,신청없음,1 : 0.12,1 : 0.05
아트&테크놀로지전공,ANT2004-01,Drawing(Capstone design),1 : 1.10,1 : 1.00,1 : 2.00,1 : 6.00
아트&테크놀로지전공,ANT2007-01,Foundation Seminar,1 : 0.33,1 : 0.43,1 : 0.75,1 : 1.00
아트&테크놀로지전공,ANT2010-01,Intro to Creative Computing,1 : 0.70,1 : 0.58,1 : 1.00,1 : 3.00
아트&테크놀로지전공,ANT2016-01,Spatial Dynamics,신청없음,1 : 0.25,1 : 0.27,1 : 0.50
아트&테크놀로지전공,ANT2017-01,Programming Interactive Media,쿼터없음,1 : 0.87,1 : 0.41,1 : 0.60
아트&테크놀로지전공,ANT3001-01,Content Business&Marketing(Capstone),쿼터없음,1 : 0.07,신청없음,1 : 0.21
아트&테크놀로지전공,ANT3002-01,Intro to Storytelling,1 : 0.93,1 : 1.50,1 : 4.33,1 : 4.00
아트&테크놀로지전공,ANT3005-01,Live Performance Studio,쿼터없음,1 : 0.57,1 : 0.30,1 : 0.31
아트&테크놀로지전공,ANT3008-01,Media Arts Studio,쿼터없음,1 : 0.07,1 : 0.07,신청없음
아트&테크놀로지전공,ANT3009-01,Game Studio I,쿼터없음,신청없음,1 : 0.03,1 : 0.06
아트&테크놀로지전공,ANT3010-01,3D Animation Studio I,쿼터없음,1 : 0.40,1 : 0.21,1 : 0.29
아트&테크놀로지전공,ANT3012-01,3D Modeling Studio,쿼터없음,1 : 0.40,1 : 0.04,1 : 0.25
아트&테크놀로지전공,ANT3014-01,UI/UX Design(Capstone design),쿼터없음,신청없음,1 : 0.13,1 : 0.03
아트&테크놀로지전공,ANT3017-01,Sound Design,쿼터없음,1 : 0.20,신청없음,1 : 0.09
아트&테크놀로지전공,ANT4001-01,Visual Story,쿼터없음,1 : 0.07,1 : 0.31,1 : 0.92
아트&테크놀로지전공,ANT4007-01,VFX Studio,쿼터없음,1 : 0.47,1 : 0.04,1 : 0.44
아트&테크놀로지전공,ANT4009-01,Mobile Studio,쿼터없음,신청없음,1 : 0.03,1 : 0.06
아트&테크놀로지전공,ANT4010-01,졸업창작프로젝트III,쿼터없음,신청없음,신청없음,1 : 0.03
아트&테크놀로지전공,ANT4013-01,Creative Capstone Project II,쿼터없음,쿼터없음,1 : 0.10,1 : 0.21
아트&테크놀로지전공,ANT4020-01,Creative Capstone Project I,쿼터없음,쿼터없음,1 : 0.20,1 : 0.06
생명과학전공,BIO1101-01,일반생물학I,1 : 1.60,1 : 0.17,1 : 0.11,1 : 0.05
생명과학전공,BIO1102-01,일반생물학II,1 : 0.48,1 : 0.24,1 : 0.12,1 : 0.10
생명과학전공,BIO1102-02,일반생물학II,1 : 1.28,1 : 1.73,1 : 1.00,1 : 1.20
생명과학전공,BIO1102-03,일반생물학II,1 : 0.06,1 : 0.02,신청없음,1 : 0.03
생명과학전공,BIO1106-01,일반생물학실험II,1 : 1.80,신청없음,1 : 0.20,쿼터없음
생명과학전공,BIO1106-02,일반생물학실험II,1 : 1.80,1 : 1.67,1 : 0.50,쿼터없음
생명과학전공,BIO1106-03,일반생물학실험II,1 : 0.40,1 : 0.44,1 : 0.14,쿼터없음
생명과학전공,BIO1106-04,일반생물학실험II,1 : 0.10,1 : 0.08,신청없음,쿼터없음
생명과학전공,BIO1106-05,일반생물학실험II,1 : 1.90,1 : 0.67,신청없음,쿼터없음
생명과학전공,BIO1106-06,일반생물학실험II,1 : 2.10,1 : 1.33,1 : 1.50,쿼터없음
생명과학전공,BIO1106-07,일반생물학실험II,1 : 0.70,1 : 0.67,신청없음,쿼터없음
생명과학전공,BIO1106-08,일반생물학실험II,1 : 0.10,1 : 0.08,신청없음,쿼터없음
생명과학전공,BIO1106-09,일반생물학실험II,1 : 1.40,1 : 1.00,1 : 0.50,쿼터없음
생명과학전공,BIO1106-10,일반생물학실험II,1 : 0.50,1 : 0.13,신청없음,쿼터없음
생명과학전공,BIO2122-01,현대생물학실험II,신청없음,1 : 0.56,1 : 0.14,신청없음
생명과학전공,BIO2122-02,현대생물학실험II,신청없음,1 : 0.33,신청없음,1 : 0.40
생명과학전공,BIO2122-03,현대생물학실험II,신청없음,1 : 1.56,1 : 0.67,1 : 1.00
생명과학전공,BIO2122-04,현대생물학실험II,신청없음,1 : 1.22,1 : 0.33,신청없음
생명과학전공,BIO2132-01,생화학II,신청없음,1 : 0.37,1 : 0.19,1 : 0.07
생명과학전공,BIO2151-01,분자생물학,신청없음,1 : 0.60,1 : 0.14,1 : 0.06
생명과학전공,BIO2522-01,식물생명과학,신청없음,1 : 0.22,1 : 0.21,1 : 0.06
생명과학전공,BIO2701-01,환경과학론,신청없음,1 : 0.20,1 : 0.03,1 : 0.03
생명과학전공,BIO3124-01,현대생물학실험IV,쿼터없음,신청없음,1 : 1.11,1 : 1.00
생명과학전공,BIO3124-02,현대생물학실험IV,쿼터없음,1 : 0.50,1 : 0.13,1 : 0.10
생명과학전공,BIO3124-03,현대생물학실험IV,쿼터없음,신청없음,1 : 1.56,1 : 2.67
생명과학전공,BIO3124-04,현대생물학실험IV,쿼터없음,신청없음,1 : 0.89,1 : 0.50
생명과학전공,BIO3511-01,식물분자생리학,신청없음,신청없음,1 : 0.08,1 : 0.08
생명과학전공,BIO3711-01,미생물학,신청없음,1 : 0.03,1 : 0.24,1 : 0.10
생명과학전공,BIO4152-01,고급분자생물학,쿼터없음,신청없음,1 : 0.37,1 : 0.10
생명과학전공,BIO4203-01,생명과학특허와기술이전,신청없음,신청없음,1 : 0.03,1 : 0.01
생명과학전공,BIO4251-01,생물통계학,쿼터없음,신청없음,1 : 0.80,1 : 0.85
생명과학전공,BIO4331-01,신경생물학,쿼터없음,1 : 0.10,1 : 0.52,1 : 0.15
생명과학전공,BIO4351-01,면역학,쿼터없음,1 : 0.30,1 : 0.63,1 : 0.14
생명과학전공,BIO4441-01,분자세포생물학,쿼터없음,신청없음,1 : 0.03,1 : 0.01
생명과학전공,BIO4921-01,특수연구,쿼터없음,쿼터없음,쿼터없음,1 : 0.05
생명과학전공,BIO4931-01,응용바이오기술실험,쿼터없음,쿼터없음,쿼터없음,1 : 0.10
생명과학전공,BIOG001-01,바이오텍의기술사업화종합설계,쿼터없음,쿼터없음,1 : 0.10,1 : 0.08
바이오융합기술연계전공,BNT3001-01,바이오융합기술프로젝트I,쿼터없음,쿼터없음,1 : 0.40,1 : 0.38
바이오융합기술연계전공,BNT3092-01,특수연구II,쿼터없음,쿼터없음,쿼터없음,1 : 0.25
바이오융합기술연계전공,BNTG006-01,바이오기술과투자기초,쿼터없음,신청없음,1 : 0.10,1 : 0.11
바이오융합기술연계전공,BNTG031-01,지식재산권과특허,쿼터없음,1 : 0.20,1 : 0.37,1 : 0.13
바이오융합기술연계전공,BNTG032-01,의공학개론II,쿼터없음,쿼터없음,1 : 0.05,1 : 0.13
화공생명공학전공,CBE2002-01,창의설계,1 : 0.48,1 : 0.22,쿼터없음,쿼터없음
화공생명공학전공,CBE2002-02,창의설계,1 : 0.68,신청없음,쿼터없음,쿼터없음
화공생명공학전공,CBE2002-03,창의설계,1 : 0.88,신청없음,쿼터없음,쿼터없음
화공생명공학전공,CBE2006-01,응용생물학,1 : 0.57,1 : 0.06,1 : 0.03,1 : 0.06
화공생명공학전공,CBE2007-01,응용생화학,쿼터없음,1 : 0.68,1 : 0.59,쿼터없음
화공생명공학전공,CBE2007-02,응용생화학,쿼터없음,1 : 0.45,1 : 0.16,쿼터없음
화공생명공학전공,CBE2009-01,화공생명공학기초실험II,쿼터없음,1 : 0.80,1 : 0.56,쿼터없음
화공생명공학전공,CBE2009-02,화공생명공학기초실험II,쿼터없음,1 : 0.55,1 : 0.21,쿼터없음
화공생명공학전공,CBE2009-03,화공생명공학기초실험II,쿼터없음,1 : 0.55,1 : 0.14,쿼터없음
화공생명공학전공,CBE2009-04,화공생명공학기초실험II,쿼터없음,1 : 1.05,1 : 0.40,쿼터없음
화공생명공학전공,CBE2012-01,화공수학II,쿼터없음,1 : 0.53,1 : 0.28,1 : 0.35
화공생명공학전공,CBE2012-02,화공수학II,쿼터없음,1 : 0.53,1 : 0.11,1 : 0.30
화공생명공학전공,CBE3001-01,화공열역학,쿼터없음,1 : 0.60,1 : 0.30,1 : 0.13
화공생명공학전공,CBE3005-01,열및물질전달,쿼터없음,쿼터없음,1 : 0.40,1 : 0.13
화공생명공학전공,CBE3005-02,열및물질전달,쿼터없음,쿼터없음,1 : 0.62,1 : 0.09
화공생명공학전공,CBE3006-01,공정제어,쿼터없음,쿼터없음,1 : 0.68,1 : 0.17
화공생명공학전공,CBE3010-01,양자화학,쿼터없음,쿼터없음,1 : 0.11,1 : 0.11
화공생명공학전공,CBE3012-01,화공수학III,쿼터없음,쿼터없음,1 : 0.23,1 : 0.16
화공생명공학전공,CBE3014-01,유전공학,쿼터없음,쿼터없음,1 : 0.15,1 : 0.13
화공생명공학전공,CBE3016-01,화공생명공학요소실험II,쿼터없음,쿼터없음,1 : 0.95,1 : 0.83
화공생명공학전공,CBE3016-02,화공생명공학요소실험II,쿼터없음,쿼터없음,1 : 0.60,1 : 0.15
화공생명공학전공,CBE3016-03,화공생명공학요소실험II,쿼터없음,쿼터없음,1 : 0.75,1 : 0.20
화공생명공학전공,CBE3016-04,화공생명공학요소실험II,쿼터없음,쿼터없음,1 : 1.00,1 : 0.20
화공생명공학전공,CBE4001-01,화공생명공학심화종합설계,쿼터없음,쿼터없음,신청없음,1 : 0.73
화공생명공학전공,CBE4001-02,화공생명공학심화종합설계,쿼터없음,쿼터없음,신청없음,1 : 0.40
화공생명공학전공,CBE4005-01,촉매공학,쿼터없음,쿼터없음,1 : 0.65,1 : 0.42
화공생명공학전공,CBE4007-01,공정공학,쿼터없음,쿼터없음,신청없음,1 : 0.10
화공생명공학전공,CBE4008-01,반도체공정,쿼터없음,쿼터없음,1 : 1.20,1 : 1.26
화공생명공학전공,CBE4010-01,화공재료,쿼터없음,신청없음,1 : 0.18,1 : 0.11
화공생명공학전공,CBE4017-01,화공생명공학공정실험,쿼터없음,쿼터없음,1 : 0.20,1 : 0.21
화공생명공학전공,CBE4018-01,산업미생물공학,쿼터없음,쿼터없음,1 : 0.09,1 : 0.21
화공생명공학전공,CBE4019-01,기능성고분자화학,쿼터없음,쿼터없음,1 : 0.26,1 : 0.13
화공생명공학전공,CBE4020-01,에너지공학,쿼터없음,쿼터없음,1 : 1.34,1 : 0.74
화공생명공학전공,CBE4021-01,나노기술의이해,쿼터없음,1 : 0.50,쿼터없음,쿼터없음
중국문화전공,CHI2002-01,전공기초중국어2,1 : 0.60,1 : 1.08,1 : 0.60,1 : 1.00
중국문화전공,CHI2003-01,기초한문,1 : 1.00,1 : 0.80,1 : 0.67,1 : 0.67
중국문화전공,CHI2007-01,중국문학의세계,1 : 1.20,1 : 0.60,1 : 0.29,1 : 0.47
중국문화전공,CHI2011-01,중국학입문,1 : 1.00,1 : 1.10,1 : 0.80,1 : 2.00
중국문화전공,CHI3004-01,중국어4,1 : 0.20,1 : 0.36,1 : 0.47,1 : 0.13
중국문화전공,CHI3006-01,중국시사,1 : 0.80,1 : 1.00,1 : 0.80,1 : 1.29
중국문화전공,CHI3007-01,중국어회화2,1 : 0.40,1 : 0.54,1 : 0.38,1 : 0.20
중국문화전공,CHI3010-01,중국문화텍스트읽기,1 : 0.40,1 : 1.63,1 : 0.70,1 : 0.46
중국문화전공,CHI3013-01,중국의공연예술,1 : 0.40,1 : 1.31,1 : 1.60,1 : 1.20
중국문화전공,CHI3018-01,중국언어의이해,신청없음,1 : 0.80,1 : 0.62,1 : 0.40
중국문화전공,CHI3023-01,그림속의중국,1 : 0.40,1 : 1.62,1 : 1.40,1 : 0.60
중국문화전공,CHI3026-01,중국의대중문화,신청없음,1 : 0.87,1 : 0.83,1 : 0.71
중국문화전공,CHI3032-01,루쉰과현대,신청없음,1 : 1.30,1 : 0.90,1 : 0.50
중국문화전공,CHI4001-01,문화연구주제특강,신청없음,신청없음,1 : 0.04,1 : 0.28
중국문화전공,CHI4010-01,중국근현대인물과사상,신청없음,1 : 0.07,1 : 0.25,1 : 0.48
중국문화전공,CHIG003-01,문화연구서설,쿼터없음,1 : 1.00,1 : 2.20,1 : 1.60
화학전공,CHM1001-01,일반화학I,1 : 0.93,1 : 0.28,1 : 0.03,1 : 0.05
화학전공,CHM1002-01,일반화학II,1 : 0.08,쿼터없음,쿼터없음,신청없음
화학전공,CHM1002-02,일반화학II,1 : 0.07,쿼터없음,쿼터없음,1 : 0.70
화학전공,CHM1002-03,일반화학II,1 : 0.63,쿼터없음,쿼터없음,1 : 1.10
화학전공,CHM1002-04,일반화학II,1 : 1.10,쿼터없음,쿼터없음,1 : 1.30
화학전공,CHM1002-05,일반화학II,1 : 1.17,쿼터없음,쿼터없음,1 : 0.70
화학전공,CHM1002-06,일반화학II,1 : 0.40,쿼터없음,쿼터없음,1 : 0.10
화학전공,CHM1052-01,일반화학실험II,1 : 0.64,쿼터없음,쿼터없음,1 : 2.00
화학전공,CHM1052-02,일반화학실험II,1 : 0.21,쿼터없음,쿼터없음,1 : 0.50
화학전공,CHM1052-03,일반화학실험II,1 : 1.31,쿼터없음,쿼터없음,쿼터없음
화학전공,CHM1052-04,일반화학실험II,1 : 0.69,쿼터없음,쿼터없음,신청없음
화학전공,CHM1052-05,일반화학실험II,1 : 0.88,쿼터없음,쿼터없음,쿼터없음
화학전공,CHM1052-06,일반화학실험II,1 : 1.25,쿼터없음,쿼터없음,1 : 0.50
화학전공,CHM1052-07,일반화학실험II,1 : 1.07,쿼터없음,쿼터없음,1 : 0.50
화학전공,CHM1052-08,일반화학실험II,1 : 0.43,쿼터없음,쿼터없음,신청없음
화학전공,CHM1052-09,일반화학실험II,1 : 0.86,쿼터없음,쿼터없음,신청없음
화학전공,CHM1052-10,일반화학실험II,1 : 0.14,쿼터없음,쿼터없음,신청없음
화학전공,CHM1052-11,일반화학실험II,1 : 0.44,쿼터없음,쿼터없음,쿼터없음
화학전공,CHM1052-12,일반화학실험II,1 : 1.56,쿼터없음,쿼터없음,1 : 0.50
화학전공,CHM1052-13,일반화학실험II,1 : 0.06,쿼터없음,쿼터없음,쿼터없음
화학전공,CHM1052-14,일반화학실험II,1 : 0.88,쿼터없음,쿼터없음,1 : 0.50
화학전공,CHM1052-15,일반화학실험II,1 : 0.21,쿼터없음,쿼터없음,1 : 0.50
화학전공,CHM1052-16,일반화학실험II,1 : 0.79,쿼터없음,쿼터없음,1 : 1.50
화학전공,CHM2102-01,기기분석,신청없음,1 : 0.05,1 : 0.32,1 : 0.11
화학전공,CHM2152-01,기기분석실험,쿼터없음,쿼터없음,1 : 2.50,1 : 0.90
화학전공,CHM2152-02,기기분석실험,쿼터없음,쿼터없음,1 : 2.00,1 : 1.10
화학전공,CHM2201-01,물리화학I,신청없음,1 : 0.25,1 : 0.16,신청없음
화학전공,CHM2203-01,물리화학III,신청없음,신청없음,1 : 0.10,1 : 0.03
