학과,과목분반,과목명,1학년,2학년,3학년 ,4학년,전학년
아트&테크놀로지전공,AAT2002-01,Humanities & creativity,1 : 1.00,1 : 1.00,1 : 9.00,쿼터없음,1 : 1.40
아트&테크놀로지전공,AAT2003-01,Intro to Digital Arts,1 : 0.46,1 : 0.06,1 : 0.31,쿼터없음,1 : 0.80
아트&테크놀로지전공,AAT2004-01,Intro to Creative Computing,1 : 0.50,1 : 0.07,1 : 0.53,쿼터없음,1 : 0.87
아트&테크놀로지전공,AAT2005-01,Creative Capstone Project I,쿼터없음,쿼터없음,1 : 0.10,1 : 0.17,1 : 0.20
아트&테크놀로지전공,AAT2006-01,Creative Capstone Project II,_,_,_,_,_
아트&테크놀로지전공,AAT3002-01,"Content Planning, Development & Business",쿼터없음,1 : 0.20,1 : 0.27,1 : 0.14,1 : 0.40
아트&테크놀로지전공,AAT3004-01,Intro to Sonic Art,쿼터없음,1 : 0.38,1 : 0.62,1 : 0.92,1 : 0.97
아트&테크놀로지전공,AAT3005-01,Visual Design,쿼터없음,1 : 0.15,1 : 0.29,1 : 0.38,1 : 0.57
아트&테크놀로지전공,AAT3007-01,Intro to Web Development,쿼터없음,1 : 0.80,1 : 1.29,1 : 2.60,1 : 1.43
아트&테크놀로지전공,AAT3008-01,Creative Algorithms,쿼터없음,1 : 0.27,1 : 0.29,1 : 0.50,1 : 0.67
아트&테크놀로지전공,AAT3009-01,Sound Design,쿼터없음,1 : 0.23,1 : 0.13,1 : 0.21,1 : 0.37
아트&테크놀로지전공,AAT3010-01,Visual Story,쿼터없음,1 : 2.40,1 : 1.73,1 : 2.20,1 : 2.03
아트&테크놀로지전공,AAT3012-01,Intro to Storytelling,쿼터없음,1 : 0.60,1 : 0.47,1 : 0.60,1 : 0.80
아트&테크놀로지전공,AAT3015-01,3D Modeling Studio,쿼터없음,1 : 0.27,1 : 0.48,1 : 0.38,1 : 0.67
아트&테크놀로지전공,AAT3016-01,UI/UX Design,쿼터없음,1 : 0.08,1 : 0.40,1 : 0.42,1 : 0.63
아트&테크놀로지전공,AAT4004-01,Media Arts Studio,쿼터없음,신청없음,1 : 0.04,1 : 0.10,1 : 0.13
아트&테크놀로지전공,AAT4005-01,Game Studio,쿼터없음,1 : 0.23,1 : 0.09,1 : 0.12,1 : 0.27
아트&테크놀로지전공,AAT4006-01,3D Animation Studio,쿼터없음,1 : 0.20,1 : 0.13,1 : 0.32,1 : 0.43
아트&테크놀로지전공,AAT4015-01,졸업창작프로젝트I,_,_,_,_,_
아트&테크놀로지전공,AAT4016-01,졸업창작프로젝트II,_,_,_,_,_
아트&테크놀로지전공,AAT4017-01,졸업창작프로젝트III,_,_,_,_,_
인공지능연계전공,AIC4010-01,인공지능종합설계Ⅰ,_,_,_,_,_
인공지능연계전공,AIC4011-01,인공지능종합설계Ⅱ,쿼터없음,쿼터없음,쿼터없음,1 : 0.15,1 : 0.15
미국문화전공,AMC2020-01,문화와글쓰기,1 : 0.86,1 : 1.63,1 : 2.67,1 : 2.00,1 : 1.65
미국문화전공,AMC2031-01,미국학입문,1 : 1.50,1 : 0.30,1 : 0.17,1 : 0.07,1 : 0.70
미국문화전공,AMC2033-01,미국문화사,1 : 1.20,1 : 0.27,1 : 0.08,1 : 0.09,1 : 0.42
미국문화전공,AMC2037-01,미국의아이콘들,1 : 3.00,1 : 1.90,쿼터없음,쿼터없음,1 : 2.70
미국문화전공,AMC3035-01,아메리칸드림,쿼터없음,1 : 0.07,1 : 0.03,1 : 0.13,1 : 0.18
미국문화전공,AMC3045-01,시각예술,쿼터없음,1 : 0.20,1 : 0.11,1 : 0.09,1 : 0.23
미국문화전공,AMC3057-01,SF문학과영화,쿼터없음,1 : 0.33,1 : 0.08,1 : 0.12,1 : 0.28
미국문화전공,AMC3080-01,미국의다문화주의,쿼터없음,1 : 0.80,1 : 0.50,1 : 0.47,1 : 0.75
미국문화전공,AMC4105-01,포스트모더니즘과탈식민주의,쿼터없음,1 : 0.30,1 : 0.27,1 : 0.13,1 : 0.33
미국문화전공,AMC4130-01,1960년대의저항문화,쿼터없음,1 : 0.20,1 : 0.43,1 : 0.11,1 : 0.38
미국문화전공,AMC4140-01,미국영화세미나,쿼터없음,신청없음,1 : 0.08,1 : 0.08,1 : 0.13
빅데이터사이언스연계전공,BDS4010-01,빅데이터종합설계,쿼터없음,쿼터없음,쿼터없음,1 : 0.40,1 : 0.40
생명과학전공,BIO1101-01,일반생물학I,1 : 1.70,1 : 0.87,1 : 0.43,1 : 0.61,1 : 1.18
