과목코드+분반코드,개설전공,과목명,전체,2학년,3학년,4학년,1학년
AAT2002-01,아트&테크놀로지전공,Humanities & creativity,0.53 : 1,0.55 : 1,0.25 : 1,0.08 : 1,신청없음
AAT2002-02,아트&테크놀로지전공,Humanities & creativity,0.87 : 1,0.85 : 1,0.60 : 1,0.40 : 1,0.20 : 1
AAT2003-01,아트&테크놀로지전공,Intro to Digital Arts,1.03 : 1,0.80 : 1,1.00 : 1,2.00 : 1,1.00 : 1
AAT2003-02,아트&테크놀로지전공,Intro to Digital Arts,0.70 : 1,0.75 : 1,0.17 : 1,0.36 : 1,신청없음
AAT2004-01,아트&테크놀로지전공,Intro to Creative Computing,1.20 : 1,1.05 : 1,1.57 : 1,3.00 : 1,0.50 : 1
AAT2004-02,아트&테크놀로지전공,Intro to Creative Computing,0.33 : 1,0.35 : 1,0.10 : 1,0.05 : 1,신청없음
AAT2005-01,아트&테크놀로지전공,Creative Capstone Project I,0.35 : 1,쿼터없음,0.20 : 1,0.25 : 1,쿼터없음
AAT2006-01,아트&테크놀로지전공,Creative Capstone Project II,0.18 : 1,쿼터없음,0.10 : 1,0.13 : 1,쿼터없음
AAT4001-01,아트&테크놀로지전공,Computer Graphics,0.80 : 1,0.80 : 1,0.33 : 1,0.68 : 1,쿼터없음
AAT4002-01,아트&테크놀로지전공,Web Studio,0.80 : 1,1.20 : 1,0.60 : 1,0.56 : 1,쿼터없음
AAT4003-01,아트&테크놀로지전공,Live Performance Studio,0.87 : 1,1.60 : 1,0.93 : 1,0.36 : 1,쿼터없음
AAT4007-01,아트&테크놀로지전공,Storytelling Workshop,0.73 : 1,0.40 : 1,0.61 : 1,0.53 : 1,쿼터없음
AAT4011-01,아트&테크놀로지전공,Immersive Media Studio,0.80 : 1,0.60 : 1,0.47 : 1,0.68 : 1,쿼터없음
AAT4015-01,아트&테크놀로지전공,졸업창작프로젝트I,0.05 : 1,신청없음,신청없음,0.05 : 1,쿼터없음
AIC4010-01,인공지능연계전공,인공지능종합설계Ⅰ,0.35 : 1,쿼터없음,쿼터없음,0.30 : 1,쿼터없음
AIC4011-01,인공지능연계전공,인공지능종합설계Ⅱ,0.05 : 1,쿼터없음,쿼터없음,0.05 : 1,쿼터없음
AMC2020-01,미국문화전공,문화와글쓰기,1.00 : 1,1.71 : 1,1.33 : 1,1.33 : 1,신청없음
AMC2031-02,미국문화전공,미국학입문,0.07 : 1,0.10 : 1,신청없음,0.05 : 1,신청없음
AMC2033-01,미국문화전공,미국문화사,0.44 : 1,1.07 : 1,0.27 : 1,0.10 : 1,신청없음
AMC3014-01,미국문화전공,번역연습,0.80 : 1,0.80 : 1,0.09 : 1,0.73 : 1,쿼터없음
AMC3014-02,미국문화전공,번역연습,0.85 : 1,1.00 : 1,0.50 : 1,0.73 : 1,쿼터없음
AMC3077-01,미국문화전공,미국서부,0.43 : 1,0.53 : 1,0.23 : 1,0.15 : 1,쿼터없음
AMC3082-01,미국문화전공,미국흑인문화,0.23 : 1,0.07 : 1,0.10 : 1,0.14 : 1,쿼터없음
AMC3096-01,미국문화전공,계층과미국문화,0.20 : 1,0.07 : 1,0.14 : 1,0.09 : 1,쿼터없음
AMC4100-01,미국문화전공,모더니즘과사회변화,0.50 : 1,0.40 : 1,0.24 : 1,0.35 : 1,쿼터없음
AMC4120-01,미국문화전공,문화와정치,0.43 : 1,0.40 : 1,0.24 : 1,0.26 : 1,쿼터없음
BDS3010-01,빅데이터사이언스연계전공,빅데이터컴퓨팅,0.70 : 1,쿼터없음,0.58 : 1,0.61 : 1,쿼터없음
BIO1101-01,생명과학전공,일반생물학I,0.59 : 1,1.93 : 1,0.40 : 1,0.45 : 1,0.07 : 1
BIO1101-02,생명과학전공,일반생물학I,0.36 : 1,0.80 : 1,0.31 : 1,0.21 : 1,0.12 : 1
BIO1101-03,생명과학전공,일반생물학I,0.09 : 1,0.20 : 1,0.05 : 1,0.08 : 1,신청없음
BIO1101-05,생명과학전공,일반생물학I,0.21 : 1,0.67 : 1,0.13 : 1,신청없음,0.05 : 1
