과목코드+분반코드,과목명,전체,1학년,2학년,3학년,4학년
AAT2002-01,Humanities & creativity,0.37 : 1,쿼터없음,0.31 : 1,0.17 : 1,신청없음
AAT2003-01,Intro to Digital Arts,0.54 : 1,쿼터없음,0.21 : 1,0.31 : 1,0.14 : 1
AAT2004-01,Intro to Creative Computing,0.34 : 1,쿼터없음,0.24 : 1,0.08 : 1,0.12 : 1
AAT2005-01,Creative Capstone Project I,0.27 : 1,쿼터없음,쿼터없음,0.20 : 1,0.19 : 1
AAT2006-01,Creative Capstone Project II,0.13 : 1,쿼터없음,쿼터없음,신청없음,0.13 : 1
AAT3002-01,"Content Planning, Development & Business",0.46 : 1,쿼터없음,0.07 : 1,0.21 : 1,0.32 : 1
AAT3005-01,Visual Design,1.46 : 1,쿼터없음,1.47 : 1,0.67 : 1,1.90 : 1
AAT3006-01,Spatial Dynamics,0.83 : 1,쿼터없음,1.20 : 1,0.20 : 1,0.47 : 1
AAT3007-01,Intro to Web Development,1.97 : 1,쿼터없음,1.00 : 1,2.07 : 1,4.60 : 1
AAT3008-01,Creative Algorithms,0.40 : 1,쿼터없음,0.47 : 1,0.09 : 1,0.15 : 1
AAT3009-01,Sound Design,0.57 : 1,쿼터없음,0.40 : 1,0.17 : 1,0.40 : 1
AAT3010-01,Visual Story,2.14 : 1,쿼터없음,1.27 : 1,1.53 : 1,6.60 : 1
AAT3015-01,3D Modeling Studio,0.83 : 1,쿼터없음,0.93 : 1,0.13 : 1,0.68 : 1
AAT4004-01,Media Arts Studio,0.23 : 1,쿼터없음,0.07 : 1,0.03 : 1,0.18 : 1
AAT4005-01,Game Studio,0.11 : 1,쿼터없음,0.13 : 1,신청없음,0.06 : 1
AAT4006-01,3D Animation Studio,0.54 : 1,쿼터없음,0.27 : 1,0.23 : 1,0.36 : 1
AAT4009-01,Physical Computing Studio,0.09 : 1,쿼터없음,신청없음,0.03 : 1,0.06 : 1
AAT4010-01,Mobile Studio,0.26 : 1,쿼터없음,신청없음,0.07 : 1,0.21 : 1
AAT4015-01,졸업창작프로젝트I,0.03 : 1,쿼터없음,쿼터없음,신청없음,0.03 : 1
AAT4016-01,졸업창작프로젝트II,0.03 : 1,쿼터없음,쿼터없음,신청없음,0.03 : 1
AIC4010-01,인공지능종합설계Ⅰ,0.05 : 1,쿼터없음,쿼터없음,쿼터없음,0.05 : 1
AIC4012-01,AI기반기술경영및정책,0.05 : 1,쿼터없음,신청없음,0.05 : 1,0.02 : 1
AMC2020-01,문화와글쓰기,1.35 : 1,1.43 : 1,0.57 : 1,1.00 : 1,2.33 : 1
AMC2031-01,미국학입문,0.40 : 1,0.67 : 1,0.07 : 1,0.06 : 1,0.10 : 1
AMC2033-01,미국문화사,0.74 : 1,2.60 : 1,0.20 : 1,0.15 : 1,0.12 : 1
AMC3037-01,미국영웅,0.48 : 1,쿼터없음,0.60 : 1,0.14 : 1,0.25 : 1
AMC3040-01,대중음악,1.20 : 1,쿼터없음,1.33 : 1,0.93 : 1,1.27 : 1
AMC3070-01,문화적정체성,0.15 : 1,쿼터없음,신청없음,0.07 : 1,0.11 : 1
