과목코드-분반,과목명,2016_1_1학년,2016_1_2학년,2016_1_3학년,2016_1_4학년,2016_2_1학년,2016_2_2학년,2016_2_3학년,2016_2_4학년,2017_1_1학년,2017_1_2학년,2017_1_3학년,2017_1_4학년,2017_2_1학년,2017_2_2학년,2017_2_3학년,2017_2_4학년,2018_1_1학년,2018_1_2학년,2018_1_3학년,2018_1_4학년,2018_2_1학년,2018_2_2학년,2018_2_3학년,2018_2_4학년,2019_1_1학년,2019_1_2학년,2019_1_3학년,2019_1_4학년,2019_2_1학년,2019_2_2학년,2019_2_3학년,2019_2_4학년,2020_1_1학년,2020_1_2학년,2020_1_3학년,2020_1_4학년,2020_2_1학년,2020_2_2학년,2020_2_3학년,2020_2_4학년,2021_1_1학년,2021_1_2학년,2021_1_3학년,2021_1_4학년
AMC2014-01,번역연습,쿼터없음,1 : 1.00,1 : 0.80,1 : 1.43,,,,,쿼터없음,1 : 1.33,1 : 0.43,1 : 0.91,,,,,쿼터없음,1 : 1.40,1 : 0.90,1 : 1.50,,,,,쿼터없음,1 : 1.40,1 : 1.20,1 : 3.60,,,,,,,,,,,,,,,,
AMC2020-01,문화와글쓰기,1 : 0.29,1 : 2.00,1 : 2.00,1 : 1.00,1 : 0.57,1 : 0.40,1 : 0.80,1 : 0.75,신청없음,1 : 0.80,1 : 1.00,1 : 1.50,1 : 3.20,1 : 2.20,1 : 1.00,1 : 0.40,1 : 0.11,1 : 4.00,1 : 1.80,1 : 0.20,1 : 0.60,1 : 1.29,1 : 0.60,1 : 0.43,신청없음,1 : 0.71,1 : 0.80,1 : 0.50,1 : 0.86,1 : 1.63,1 : 2.67,1 : 2.00,신청없음,1.71 : 1,1.33 : 1,1.33 : 1,1.43 : 1,0.57 : 1,1.00 : 1,2.33 : 1,신청없음,0.63 : 1,0.80 : 1,0.67 : 1
AMC2031-01,문화연구입문,1 : 0.07,쿼터없음,쿼터없음,쿼터없음,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMC2031-02,문화연구입문,1 : 0.05,1 : 0.20,1 : 0.35,1 : 0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMC2033-01,미국역사와문화,1 : 0.03,1 : 0.40,1 : 0.09,1 : 0.08,1 : 3.80,1 : 0.65,1 : 0.53,1 : 0.22,1 : 0.08,1 : 0.84,1 : 0.14,1 : 0.18,1 : 0.90,1 : 0.25,1 : 0.07,1 : 0.06,1 : 0.04,1 : 2.00,1 : 0.47,1 : 0.11,,,,,,,,,,,,,,,,,,,,,,,,
AMC2037-01,미국의아이콘들,1 : 0.40,1 : 1.10,1 : 1.30,1 : 1.00,,,,,,,,,,,,,쿼터없음,1 : 1.90,1 : 2.10,1 : 0.70,1 : 0.90,1 : 0.91,쿼터없음,쿼터없음,,,,,1 : 3.00,1 : 1.90,쿼터없음,쿼터없음,,,,,,,,,,,,
AMC3037-01,미국영웅,쿼터없음,1 : 0.53,1 : 0.71,1 : 0.60,,,,,,,,,,,,,쿼터없음,1 : 0.13,1 : 0.14,1 : 0.03,,,,,,,,,,,,,,,,,쿼터없음,0.60 : 1,0.14 : 1,0.25 : 1,,,,
AMC3090-01,성의문화,쿼터없음,1 : 0.40,1 : 0.53,1 : 0.26,,,,,,,,,,,,,쿼터없음,1 : 0.87,1 : 0.76,1 : 0.36,,,,,,,,,,,,,,,,,,,,,,,,
AMC3096-01,대중문화연구,쿼터없음,1 : 0.10,1 : 0.04,신청없음,,,,,,,,,,,,,쿼터없음,1 : 0.07,1 : 0.28,1 : 0.06,,,,,,,,,,,,,,,,,,,,,,,,
AMC3097-01,미국텔레비젼,쿼터없음,1 : 1.10,1 : 0.27,1 : 0.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
