학년도,학기,소속,학과,과목번호,분반,과목명,학점,수업시간/강의실,시간,교수진,수강생수,영어강의,중국어강의,공학인증,국제학생,Honors과목,홀짝구분,승인과목,시험일자,수강대상,권장학년,수강신청 참조사항,과목 설명,비고
2019 학년도,1학기,학부,영미어문전공,ENG2001,1,영문학개론,3.0,"화,목 13:30~14:45 [J217]",3.0,장기윤,36,O,,,,,,,,1학년,1학년,,,
2019 학년도,1학기,학부,영미어문전공,ENG2001,2,영문학개론,3.0,"수,금 13:30~14:45 [J215]",3.0,윤주옥,41,O,,,,,,,,전학년,1학년,,,
2019 학년도,1학기,학부,영미어문전공,ENG2003,1,언어학개론,3.0,"화,목 12:00~13:15 [J215]",3.0,채서영,22,O,,,,,,,,전학년,1-4학년,,,
2019 학년도,1학기,학부,영미어문전공,ENG2101,1,영문학작문,3.0,"화,목 12:00~13:15 [J217]",3.0,BonfiglioRichardPaul,19,O,,,,,,,,1학년,1-2학년,,,
2019 학년도,1학기,학부,영미어문전공,ENG2101,2,영문학작문,3.0,"화,목 09:00~10:15 [J217]",3.0,김치헌,18,O,,,,,,,,"1,2학년",1-2학년,,,
2019 학년도,1학기,학부,영미어문전공,ENG2101,3,영문학작문,3.0,"월,수 12:00~13:15 [J217]",3.0,신문주,19,O,,,,,,,,"2,3,4학년",1-2학년,,,
2019 학년도,1학기,학부,영미어문전공,ENG3008,1,초기영국소설,3.0,"수,금 15:00~16:15 [J217]",3.0,신경원,21,,,,,,,,,"2,3,4학년",2-4학년,,,
2019 학년도,1학기,학부,영미어문전공,ENG3010,1,빅토리아시대의소설,3.0,"화,목 15:00~16:15 [J217]",3.0,BonfiglioRichardPaul,25,O,,,,,,,,"2,3,4학년",2-4학년,,,
2019 학년도,1학기,학부,영미어문전공,ENG3012,1,초기및19세기미국소설,3.0,"화,목 16:30~17:45 [J217]",3.0,장기윤,22,O,,,,,,,,"2,3,4학년",2-4학년,,,
2019 학년도,1학기,학부,영미어문전공,ENG3102,1,현대서양문학,3.0,"화,목 16:30~17:45 [J219]",3.0,신문주,23,O,,,,,,,,"2,3,4학년",2-4학년,,,
2019 학년도,1학기,학부,영미어문전공,ENG3106,1,현대미국희곡,3.0,"월,수 10:30~11:45 [J217]",3.0,Chambers Claire Maria,29,O,,,,,,,,"2,3,4학년",2-4학년,,,
2019 학년도,1학기,학부,영미어문전공,ENG3108,1,최근미국문학,3.0,"수,금 09:00~10:15 [J313]",3.0,황은주,14,,,,,,,,,"2,3,4학년",2-4학년,,,
2019 학년도,1학기,학부,영미어문전공,ENG3207,1,영어권대중문학,3.0,"화,목 09:00~10:15 [J315]",3.0,손일수,23,O,,,,,,,,전학년,2-4학년,,,
2019 학년도,1학기,학부,영미어문전공,ENG3216,1,영문학특강,3.0,"수,금 13:30~14:45 [J325]",3.0,신경원,15,,,,,,,,,"2,3,4학년",2-4학년,,,부제:페미니즘 이론(Feminist Theory)
2019 학년도,1학기,학부,영미어문전공,ENG3223,1,시와문화,3.0,"화,목 10:30~11:45 [J325]",3.0,"Disney, Daniel James Philip",34,O,,,,,,,,"2,3,4학년",2-4학년,,,
2019 학년도,1학기,학부,영미어문전공,ENG3227,1,문학과예술,3.0,"월,수 12:00~13:15 [J215]",3.0,BonfiglioRichardPaul,17,O,,,,,,,,"2,3,4학년",2-4학년,,,
2019 학년도,1학기,학부,영미어문전공,ENG3301,1,영어음성학,3.0,"월,수 10:30~11:45 [J313]",3.0,정인기,17,O,,,,,,,,"2,3,4학년",2-4학년,,,
2019 학년도,1학기,학부,영미어문전공,ENG3305,1,영어화용론,3.0,금 10:30~13:15 [J102],3.0,한승훈,53,,,,,,,,,전학년,2-4학년,,,인원제한 없음/ 전학년
2019 학년도,1학기,학부,영미어문전공,ENG3306,1,영어통사론,3.0,"화,목 15:00~16:15 [J313]",3.0,Barrie Michael Jonathan Mathew,23,O,,,,,,,,"2,3,4학년",2-4학년,,,
2019 학년도,1학기,학부,영미어문전공,ENG3319,1,언어조사및분석,3.0,"화,목 10:30~11:45 [J315]",3.0,Barrie Michael Jonathan Mathew,14,O,,,,,,,,"2,3,4학년",2-4학년,,,
2019 학년도,1학기,학부,영미어문전공,ENG3412,1,영어연설과원고작성법,3.0,"화,목 13:30~14:45 [J321]",3.0,채서영,17,,,,,,,,,전학년,1-4학년,,영어연설연습(ENG2109)의 대체과목,
