과목명,교수명,수업요일,수업시간,강의실,소속,과목코드,학점,권장학년,교수특징,경쟁점수,꿀점수,배움점수
영문학개론,신경원,화목,16:30~17:45,없음,영미어문,ENG2001-01,3.0,1,없음,알수없음,0.0,0.0
영문학개론,황은주,화목,10:30~11:45,없음,영미어문,ENG2001-02,3.0,1,없음,알수없음,0.0,0.0
영문학배경,김치헌,수금,13:30~14:45,없음,영미어문,ENG2002-01,3.0,24,없음,알수없음,0.0,0.0
언어학개론,이성범,수금,09:00~10:15,J107,,,,,,,,
언어학개론,채서영,월수,10:30~11:45,없음,영미어문,ENG2003-02,3.0,14,없음,2.827,0.0,1.0
영문학작문,장기윤,화목,15:00~16:15,없음,영미어문,ENG2101-01,3.0,12,없음,알수없음,0.0,1.0
영문학작문,BonfiglioRichardPaul,월수,16:30~17:45,없음,,,,,,,,
영문학작문,전선재,수금,09:00~10:15,없음,영미어문,ENG2101-03,3.0,12,없음,알수없음,0.0,0.0
작문과수사학,채서영,수금,15:00~16:15,없음,영미어문,ENG2103-01,3.0,24,없음,1.058,0.0,0.0
산문비평과인문학적사유,김영주,수금,15:00~16:15,없음,영미어문,ENG2105-01,3.0,24,없음,알수없음,0.0,1.0
17세기영문학,김태원,월수,12:00~13:15,없음,영미어문,ENG3005-01,3.0,24,없음,알수없음,0.0,0.0
낭만주의시대의영문학,신경원,화목,13:30~14:45,없음,영미어문,ENG3007-01,3.0,24,없음,알수없음,0.0,0.0
현대서양문학,장기윤,월수,16:30~17:45,없음,영미어문,ENG3102-01,3.0,24,없음,알수없음,0.0,0.0
최근미국문학,황은주,화목,09:00~10:15,없음,영미어문,ENG3108-01,3.0,24,없음,3.017,1.0,0.0
성과문학,김영주,수금,13:30~14:45,없음,영미어문,ENG3211-01,3.0,24,없음,알수없음,0.0,0.0
소설의기원과발달,신경원,화목,12:00~13:15,없음,영미어문,ENG3222-01,3.0,24,없음,알수없음,0.0,0.0
영어음성학,정인기,월수,10:30~11:45,없음,,,,,,,,
영어형태론,정인기,화목,09:00~10:15,없음,영미어문,ENG3302-01,3.0,24,없음,알수없음,0.0,0.0
영어화용론,한승훈,월,13:30~16:15,없음,,,,,,,,
영어통사론,Barrie Michael Jonathan Mathew,화목,12:00~13:15,없음,,,,,,,,
세계화시대의영어:최근동향과이슈,박은성,화목,16:30~17:45,없음,영미어문,ENG3317-01,3.0,24,없음,알수없음,0.0,0.0
언어조사및분석,Barrie Michael Jonathan Mathew,화목,15:00~16:15,없음,,,,,,,,
영어교육론,박은성,화목,10:30~11:45,없음,영미어문,ENG3408-01,3.0,14,없음,알수없음,0.0,0.0
영어발음의이해,Yoo Isaiah WonHo,화목,13:30~14:45,없음,,,,,,,,
영어연설과원고작성법,채서영,월수,12:00~13:15,없음,영미어문,ENG3412-01,3.0,14,없음,알수없음,0.0,0.0
19세기영국문학프로세미나,BonfiglioRichardPaul,목,15:00~18:00,없음,,,,,,,,
20세기미국문학프로세미나,황은주,금,09:00~12:00,없음,영미어문,ENGG007-01,3.0,34,없음,알수없음,0.0,0.0
제2언어습득론입문:이론과적용,박은성,월,14:00~17:00,없음,,,,,,,,
영어논리/논증적글쓰기의이론과실제,이요안,월,13:30~16:20,없음,,,,,,,,
한국사개론1,정일영,수금,13:30~14:45,없음,사학,HIS2003-01,3.0,24,없음,알수없음,0.0,0.0
동아시아사개론1,전인갑,월수,10:30~11:45,없음,사학,HIS2004-01,3.0,24,없음,알수없음,0.0,0.0
서양사개론1,박효근,월,13:30~16:15,없음,사학,HIS2005-01,3.0,24,없음,알수없음,0.0,0.0
