소속,과목코드,과목명,교수명,학점,수업요일,수업시간,강의실,권장학년,교수특징,경쟁점수,꿀점수,배움점수
영미어문,ENG2001-01,영문학개론,장기윤,3,화목,13:30~14:45,J217,1,없음,알수없음,1,0
영미어문,ENG2001-02,영문학개론,윤주옥,3,수금,13:30~14:45,J215,1,없음,알수없음,0,0
영미어문,ENG2003-01,언어학개론,채서영,3,화목,12:00~13:15,J215,14,없음,2.827,0,1
영미어문,ENG2101-01,영문학작문,Paul,3,화목,12:00~13:15,J217,12,없음,0.977,0,0
영미어문,ENG2101-02,영문학작문,김치헌,3,화목,09:00~10:15,J217,12,없음,알수없음,0,0
영미어문,ENG2101-03,영문학작문,신문주,3,월수,12:00~13:15,J217,12,없음,알수없음,0,0
영미어문,ENG3008-01,초기영국소설,신경원,3,수금,15:00~16:15,J217,24,없음,알수없음,0,0
영미어문,ENG3010-01,빅토리아시대의소설,Paul,3,화목,15:00~16:15,J217,24,없음,알수없음,0,0
영미어문,ENG3012-01,초기및19세기미국소설,장기윤,3,화목,16:30~17:45,J217,24,없음,알수없음,0,0
영미어문,ENG3102-01,현대서양문학,신문주,3,화목,16:30~17:45,J219,24,없음,알수없음,0,0
영미어문,ENG3106-01,현대미국희곡,Chambers Claire Maria,3,월수,10:30~11:45,J217,24,없음,알수없음,0,0
영미어문,ENG3108-01,최근미국문학,황은주,3,수금,09:00~10:15,J313,24,없음,3.017,1,0
영미어문,ENG3207-01,영어권대중문학,손일수,3,화목,09:00~10:15,J315,24,없음,알수없음,1,0
영미어문,ENG3216-01,영문학특강,신경원,3,수금,13:30~14:45,J325,24,없음,알수없음,0,1
영미어문,ENG3223-01,시와문화,Disney,3,화목,10:30~11:45,J325,24,없음,알수없음,0,1
영미어문,ENG3227-01,문학과예술,Paul,3,월수,12:00~13:15,J215,24,없음,알수없음,0,1
영미어문,ENG3301-01,영어음성학,정인기,3,월수,10:30~11:45,J313,24,없음,1.964,0,0
영미어문,ENG3305-01,영어화용론,한승훈,3,금,10:30~13:15,J102,24,없음,0.644,0,0
영미어문,ENG3306-01,영어통사론,Mathew,3,화목,15:00~16:15,J313,24,없음,알수없음,0,0
영미어문,ENG3319-01,언어조사및분석,Mathew,3,화목,10:30~11:45,J315,24,없음,알수없음,1,0
영미어문,ENG3412-01,영어연설과원고작성법,채서영,3,화목,13:30~14:45,J321,14,없음,알수없음,0,0
영미어문,ENGG282-01,영어논리/논증적글쓰기의이론과실제,이요안,3,목,14:00~17:00,J614,34,없음,알수없음,0,0
영미어문,ENGG284-01,글쓰기문법과논리적사고,유원호,3,월,14:00~17:00,J323,34,없음,알수없음,0,0
사학,HIS2003-01,한국사개론1,정선용,3,화목,15:00~16:15,J307,24,없음,알수없음,0,0
사학,HIS2004-01,동아시아사개론1,윤대영,3,화목,09:00~10:15,J317,24,없음,알수없음,0,0
사학,HIS2005-01,서양사개론1,오흥식,3,월수,16:30~17:45,J217,24,없음,알수없음,0,0
사학,HIS2006-01,역사학입문,윤병남,3,화목,13:30~14:45,J219,14,도도,1.546,0,0
사학,HIS3007-01,중국중세사,정면,3,월,13:30~16:15,J309,24,없음,0.92,0,0
사학,HIS3012-01,근대일본의형성,정녕,3,화목,15:00~16:15,J309,14,없음,알수없음,0,0
사학,HIS3018-01,아시아지역사특강1,윤대영,3,화목,10:30~11:45,J102,24,없음,알수없음,0,0
사학,HIS3023-01,르네상스와종교개혁사,박효근,3,월,13:30~16:15,J106,24,없음,알수없음,0,0
사학,HIS3028-01,서양현대사,이종훈,3,수금,15:00~16:15,J215,24,없음,알수없음,0,0
