소속,과목코드,과목명,교수명,학점,수업요일,수업시간,강의실_x,권장학년,교수특징,경쟁점수,꿀점수,배움점수
영미어문전공,ENG2001-01,영문학개론,장기윤,3,[화목],13:30~14:45,J217,['1'],[],,13.724645454545454,6.060499999999998
영미어문전공,ENG2001-02,영문학개론,윤주옥,3,[수금],13:30~14:45,J215,['1'],[],,10.964113043478262,13.08882608695652
영미어문전공,ENG2003-01,언어학개론,채서영,3,[화목],12:00~13:15,J215,"['1', '4']",[],2.8272636363636363,-3.9385777777777786,17.724888888888884
영미어문전공,ENG2101-01,영문학작문,BonfiglioRichardPaul,3,[화목],12:00~13:15,J217,"['1', '2']",[],0.97695,8.67,12.1
영미어문전공,ENG2101-02,영문학작문,김치헌,3,[화목],09:00~10:15,J217,"['1', '2']",[],,0.6299999999999999,6.75
영미어문전공,ENG2101-03,영문학작문,신문주,3,[월수],12:00~13:15,J217,"['1', '2']",[],,8.923233333333334,4.9795
영미어문전공,ENG3008-01,초기영국소설,신경원,3,[수금],15:00~16:15,J217,"['2', '4']",[],,9.69,4.95
영미어문전공,ENG3010-01,빅토리아시대의소설,BonfiglioRichardPaul,3,[화목],15:00~16:15,J217,"['2', '4']",[],,12.24,9.9
영미어문전공,ENG3012-01,초기및19세기미국소설,장기윤,3,[화목],16:30~17:45,J217,"['2', '4']",[],,2.4033333333333333,11.5
영미어문전공,ENG3102-01,현대서양문학,신문주,3,[화목],16:30~17:45,J219,"['2', '4']",[],,13.52,5.4
영미어문전공,ENG3106-01,현대미국희곡,Chambers Claire Maria,3,[월수],10:30~11:45,J217,"['2', '4']",[],,,
영미어문전공,ENG3108-01,최근미국문학,황은주,3,[수금],09:00~10:15,J313,"['2', '4']",[],3.0165473684210533,16.32,10.45
영미어문전공,ENG3207-01,영어권대중문학,손일수,3,[화목],09:00~10:15,J315,"['2', '4']",[],,15.3,7.700000000000001
영미어문전공,ENG3216-01,영문학특강,신경원,3,[수금],13:30~14:45,J325,"['2', '4']",[],,2.8600000000000003,13.8
영미어문전공,ENG3223-01,시와문화,"Disney, Daniel James Philip",3,[화목],10:30~11:45,J325,"['2', '4']",[],,2.02,19.95
영미어문전공,ENG3227-01,문학과예술,BonfiglioRichardPaul,3,[월수],12:00~13:15,J215,"['2', '4']",[],,0.0,18.9
영미어문전공,ENG3301-01,영어음성학,정인기,3,[월수],10:30~11:45,J313,"['2', '4']",[],1.96365,9.48172857142857,8.4915
영미어문전공,ENG3305-01,영어화용론,한승훈,3,[금],10:30~13:15,J102,"['2', '4']",[],0.6436585365853658,5.447166666666668,12.3725
영미어문전공,ENG3306-01,영어통사론,Barrie Michael Jonathan Mathew,3,[화목],15:00~16:15,J313,"['2', '4']",[],,9.937242857142856,9.644785714285714
영미어문전공,ENG3319-01,언어조사및분석,Barrie Michael Jonathan Mathew,3,[화목],10:30~11:45,J315,"['2', '4']",[],,18.18,12.6
영미어문전공,ENG3412-01,영어연설과원고작성법,채서영,3,[화목],13:30~14:45,J321,"['1', '4']",[],,2.04,11.0
영미어문전공,ENGG282-01,영어논리/논증적글쓰기의이론과실제,이요안,3,[목],14:00~17:00,J614,"['3', '4']",[],,,
영미어문전공,ENGG284-01,글쓰기문법과논리적사고,Yoo Isaiah WonHo,3,[월],14:00~17:00,J323,"['3', '4']",,,,
사학전공,HIS2003-01,한국사개론Ⅰ,정선용,3,[화목],15:00~16:15,J307,"['2', '4']",[],,11.73,10.45
사학전공,HIS2004-01,동아시아사개론Ⅰ,윤대영,3,[화목],09:00~10:15,J317,"['2', '4']",[],,,
사학전공,HIS2005-01,서양사개론Ⅰ,오흥식,3,[월수],16:30~17:45,J217,"['2', '4']",[],,12.715455555555556,4.187277777777776
사학전공,HIS2006-01,역사학입문,윤병남,3,[화목],13:30~14:45,J219,"['1', '4']",['시크'],1.5463024390243905,9.4221,9.783
사학전공,HIS3007-01,중국중세사,정면,3,[월],13:30~16:15,J309,"['2', '4']",[],0.9204,15.103233333333336,9.5795
사학전공,HIS3012-01,근대일본의형성,정녕,3,[화목],15:00~16:15,J309,"['1', '4']",[],,11.004185714285716,10.219500000000002
사학전공,HIS3018-01,아시아지역사특강1,윤대영,3,[화목],10:30~11:45,J102,"['2', '4']",[],,,
사학전공,HIS3023-01,르네상스와종교개혁사,박효근,3,[월],13:30~16:15,J106,"['2', '4']",[],,10.776666666666667,10.183333333333334
사학전공,HIS3028-01,서양현대사,이종훈,3,[수금],15:00~16:15,J215,"['2', '4']",['월급루팡'],,,
사학전공,HIS3029-01,20세기세계사,"Swain, Nigel",3,[화목],13:30~14:45,J313,"['2', '4']",[],,,
사학전공,HIS3039-01,한국사학사,최기영,3,[화목],10:30~11:45,J217,"['2', '4']",[],,10.643333333333334,9.583333333333334
사학전공,HIS3042-01,한국정치사,최희정,3,[월수],12:00~13:15,J325,"['2', '4']",[],,11.333433333333335,9.9705
사학전공,HIS3053-01,한국여성사,계승범,3,[월수],10:30~11:45,J215,"['2', '4']",[],,16.12,10.8
사학전공,HIS3056-01,중국사상사,최진묵,3,[금],10:30~13:15,J313,"['2', '4']",[],,11.73,8.25
