소속,과목코드,과목명,교수명,학점,수업요일,수업시간,강의실,권장학년,교수특징,경쟁점수,꿀점수,배움점수
빅데이터사이언스,STS2011-02,기초빅데이터프로그래밍,서경희,3,화목,12:00~13:15,AS107,24,도도천사,2.016,0,0
빅데이터사이언스,MAT2110-01,선형대수학,김종수,3,화목,10:30~11:45,RA408,2,없음,알수없음,0,0
빅데이터사이언스,MAT2110-02,선형대수학,조상현,3,수금,13:30~14:45,K212,2,없음,1.646,1,0
빅데이터사이언스,MAT2110-03,선형대수학,조성희,3,화목,13:30~14:45,K307,2,꼰대,알수없음,0,0
빅데이터사이언스,MAT2110-04,선형대수학,김순영,3,화목,10:30~11:45,RA410,2,도도천사,알수없음,0,0
빅데이터사이언스,MAT2110-05,선형대수학,최미란,3,금,10:30~13:15,RA408,2,천사,알수없음,0,0
빅데이터사이언스,MAT2110-01,선형대수학,조상현,3,수금,09:00~10:15,RA308,2,없음,1.646,1,0
빅데이터사이언스,MAT2110-02,선형대수학,이영란,3,수금,13:30~14:45,RA308,2,없음,1.337,0,0
빅데이터사이언스,MAT2110-03,선형대수학,유지현,3,월,13:30~16:15,RA308,2,도도,알수없음,0,0
빅데이터사이언스,MAT2110-02,선형대수학,조성희,3,화목,10:30~11:45,RA406B,2,꼰대,알수없음,0,0
빅데이터사이언스,MAT2110-03,선형대수학,Ho,3,화목,09:00~10:15,RA406B,2,없음,알수없음,0,0
빅데이터사이언스,MAT2110-04,선형대수학,조성희,3,화목,12:00~13:15,RA406B,2,꼰대,알수없음,0,0
빅데이터사이언스,MAT2110-05,선형대수학,한상현,3,화목,13:30~14:45,RA308,2,없음,알수없음,0,0
빅데이터사이언스,MAT2110-03,선형대수학,조장현,3,화목,12:00~13:15,없음,2,없음,알수없음,0,0
빅데이터사이언스,MAT2110-03,선형대수학,이영란,3,화목,09:00~10:15,없음,2,없음,1.337,0,0
빅데이터사이언스,MAT2110-04,선형대수학,Ho,3,월수,12:00~13:15,없음,2,없음,알수없음,0,0
빅데이터사이언스,MAT2110-05,선형대수학,옥지훈,3,화목,13:30~14:45,없음,2,없음,알수없음,0,0
빅데이터사이언스,MAT3020-01,통계학입문,임경수,3,월수,10:30~11:45,K303,2,없음,알수없음,0,0
빅데이터사이언스,MAT3020-01,통계학입문,임경필,3,화목,09:00~10:15,RA408,2,없음,알수없음,0,0
빅데이터사이언스,MAT3020-02,통계학입문,임경필,3,화목,10:30~11:45,RA408,2,없음,알수없음,0,0
빅데이터사이언스,MAT3020-01,통계학입문,최정아,3,화목,12:00~13:15,RA308,2,없음,알수없음,0,0
빅데이터사이언스,MGT2002-01,경영통계학,김명석,3,화목,10:30~11:45,MA406,1,귀염,3.383,0,1
빅데이터사이언스,MGT2002-02,경영통계학,이윤동,3,수금,15:00~16:15,MA106,1,귀염,2.172,0,1
빅데이터사이언스,MGT2002-03,경영통계학,김범수,3,화목,12:00~13:15,MA102,1,없음,1.737,0,0
